School/Institute/Center,Department/Group,Pattern
School of Architecture,Landscape Futures Lab,Landscape Futures Lab
School of Architecture,Landscape Justice Initiative,Landscape Justice Initiative
School of Architecture,Ordinary Urbanism Research Lab,Ordinary Urbanism Research Lab
School of Cinematic Arts,Business of Cinematic Arts,Business of Cinematic Arts
School of Cinematic Arts,Change Making Media Lab (CMML),Change Making Media Lab
School of Cinematic Arts,Cinema and Media Studies,Cinema (&|and) Media Studies
School of Cinematic Arts,Creative Media and Behavioral Health Center,Creative Media and Behavioral Health Center
School of Cinematic Arts,DADA Research Lab,DADA Research Lab
School of Cinematic Arts,Emergent Cities Research Group,Emergent Cities
School of Cinematic Arts,Entertainment Technology Center,Entertainment Technology Center
School of Cinematic Arts,Expanded Animation,Expanded Animation
School of Cinematic Arts,Film and Television Production,Film (&|and) Television Production
School of Cinematic Arts,Game Innovation Lab,Game Innovation Lab
School of Cinematic Arts,Immersive Media Lab,Immersive Media Lab
School of Cinematic Arts,Interactive Media and Games Division,Interactive Media (&|and) Games Division
School of Cinematic Arts,John C. Hench Division of Animation + Digital Arts,Division of Animation \\+ Digital Arts|Animation and Digital Arts
School of Cinematic Arts,John Wells Division of Writing for Screen and Television,Writing for Screen (&|and) Television
School of Cinematic Arts,Media Arts + Practice Division,(Media Arts \\+ Practice|Center for Spatial Perception and Concrete Experience|Media Arts and Practice)
School of Cinematic Arts,Mobile and Environmental Media Lab,Mobile and Environmental Media Lab
School of Cinematic Arts,MxR Lab and MxR Studio,MxR (Lab|Studio)
School of Cinematic Arts,Peter Stark Producing Program,Peter Stark Producing Program
School of Cinematic Arts,Scalar Lab,Scalar Lab
School of Cinematic Arts,Situation Lab,Situation Lab
School of Cinematic Arts,World Building Media Lab,World Building Media Lab
Suzanne Dworak-Peck School of Social Work,Adult Mental Health and Wellness,Adult Mental Health (&|and) Wellness
Suzanne Dworak-Peck School of Social Work,"Center for Homelessness, Housing, and Health Equity Research",Center for Homelessness Housing and Health Equity Research
Suzanne Dworak-Peck School of Social Work,Center for Innovation and Research on Veterans and Military Families,Center for Innovation and Research on Veterans (&|and) Military Families
Suzanne Dworak-Peck School of Social Work,Center for LGBTQ+ Health Equity,Center for LGBTQ+ Health Equity
Suzanne Dworak-Peck School of Social Work,"Children, Youth and Families",Department of Children Youth and Families
Suzanne Dworak-Peck School of Social Work,Children's Data Network,"Children['’]{0,1}s Data Network"
Suzanne Dworak-Peck School of Social Work,Edward R. Roybal Institute on Aging,Roybal Institute on Aging
Suzanne Dworak-Peck School of Social Work,Enhanced Interdisciplinary Research Training Institute,Interdisciplinary Research Training Institute on Hispanic Drug Abuse
Suzanne Dworak-Peck School of Social Work,Hamovitch Research Center,Hamovitch Center for Science in the Human Services|Hamovitch Research Center
Suzanne Dworak-Peck School of Social Work,Nursing,Department of Nursing
Suzanne Dworak-Peck School of Social Work,Social Change and Innovation,Social Change and Innovation
Suzanne Dworak-Peck School of Social Work,Social Work,Department of Social Work
Thornton School of Music,Music Teaching and Learning,Music Teaching (and )?Learning
University Relations,Neighborhood Academic Initiative,Neighborhood Academic Initiative
USC Office of Research and Innovation,Office of Research and Innovation,Office of Research Advancement
Viterbi School of Engineering,Aerospace and Mechanical Engineering,Aerospace (&|and) Mechanical Engineering|Mechanical Engineering
Viterbi School of Engineering,Airbus Institute for Engineering Research (AIER),Airbus Institute for Engineering Research
Viterbi School of Engineering,Arid Climate and Water Research Center (AWARE),Arid Climate and Water Research Center
Viterbi School of Engineering,Artificial Intelligence for Social Good,Artificial Intelligence for Social Good
Viterbi School of Engineering,Astronautical Engineering,Astronautical Engineering
Viterbi School of Engineering,Biomedical Engineering,Biomedical Engineering|Biomedical Microsystem Lab
Viterbi School of Engineering,Biomimicry for Synthesis of Smart Textiles,Biomimicry for Synthesis of Smart Textiles
Viterbi School of Engineering,Center for Advanced Manufacturing (CAM),Center for Advanced Manufacturing
Viterbi School of Engineering,Center for Computational Modeling of Cancer (CCMC),Center for Computational Modeling of Cancer
Viterbi School of Engineering,Center for Cyber-Physical Systems and the Internet of Things (CCI),Center for Cyber-?Physical Systems and the Internet of Things
Viterbi School of Engineering,Center for Human-Applied Reasoning and the Internet of Things (CHARIOT),Center for Human-?Applied Reasoning and the Internet of Things
Viterbi School of Engineering,Center for Immunoengineering,Center for Immunoengineering
Viterbi School of Engineering,Center for Integrated Electronic and Biological Organisms (CIEBOrg),Center for Integrated Electronic and Biological Organisms
Viterbi School of Engineering,Center for Intelligent Environments (CENTIENTS),Center for Intelligent Environments
Viterbi School of Engineering,Center for Neural Engineering,Center of Neural Engineering
Viterbi School of Engineering,Center for Peptide and Protein Engineering (CPPE),Center for Peptide and Protein Engineering
Viterbi School of Engineering,Center for Systems and Control (CSC),Center for Systems and Control
Viterbi School of Engineering,Center for Systems and Software Engineering,Center for Systems and Software Engineering
Viterbi School of Engineering,Center of Machine Learning (MaSCle),Center of Machine Learning
Viterbi School of Engineering,Collaboratory for Advanced Computing and Simulations,Collaboratory for Advanced Computing and Simulations
Viterbi School of Engineering,Computer Science,Computer Science
Viterbi School of Engineering,Engineering Education,Engineering Education
Viterbi School of Engineering,Engineering in Society Program,Engineering in Society Program
Viterbi School of Engineering,Foundation for Cross-Connection Control and Hydraulic Research (FCCCHR),Cross-?Connection Control and Hydraulic Research
Viterbi School of Engineering,GamePipe Lab,GamePipe Lab
Viterbi School of Engineering,Gill Foundation Composites Center,Composites Center
Viterbi School of Engineering,Impact Lab,Impact Lab
Viterbi School of Engineering,Industrial and Systems Engineering,Industrial (&|and) Systems Engineering|Daniel J\. Epstein Institute|Operations Research Engineering
Viterbi School of Engineering,Information Sciences Institute,Information Sciences? Institute|Space Engineering Research Center|Quantum Computing Center
Viterbi School of Engineering,Information Technology Program,Information Technology Program
Viterbi School of Engineering,Institute for Creative Technologies,Center for Body Computing|Mixed Reality Lab|Medical Virtual Reality|Affective Computing|Learning Sciences|Modeling & Simulation|Dialogue Group|Narrative Group|Vision & Graphics Lab|Central Architecture Research & Development|Social Simulation|Cognitive Architecture|Institute for Creative Technologies
Viterbi School of Engineering,Institute for Future of Computing,Institute for Future of Computing
Viterbi School of Engineering,Integrated Media Systems Center,Integrated Media Systems Center
Viterbi School of Engineering,Materials Genome Innovation for Computational Software Center,Materials Genome Innovation for Computational Software
Viterbi School of Engineering,Media Communications Lab,Media Communications Lab
Viterbi School of Engineering,Electrical and Computer Engineering,Electrical (&|and) Computer Engineering|Microwave Systems Sensors and Imaging Lab|Ming Hsieh|Electrical Engineering|Wireless Devices and Systems Group|ECE
Viterbi School of Engineering,Chemical Engineering and Materials Science,Chemical Engineering (&|and) Materials? Science|Petroleum Engineering|Mork Family|Chemical Engineering
Viterbi School of Engineering,Pratt and Whitney Institute for Collaborative Engineering,Pratt (&|and) Whitney Institute for Collaborative Engineering
Viterbi School of Engineering,Robotics and Autonomous Systems Center (RASC),(Robotic Embedded Systems Lab|Interaction Lab|CIBORG Lab|Robotics and Autonomous Systems Center|Signal Analysis and Interpretation Lab)
Viterbi School of Engineering,Signal and Information Processing Institute (SIPI),Signal and Image Processing Institute
Viterbi School of Engineering,Civil and Environmental Engineering,Civil and Environmental Engineering|Sonny Astani|of Civil Engineering
Viterbi School of Engineering,USC-Chevron Center for Interactive Smart Oilfield Technologies (CiSoft),Center for Interactive Smart Oilfield Technologies|CiSoft
Viterbi School of Engineering,Western Research Applications Center,Western Research Applications Center|WESRAC
Keck Medicine of USC,Alzheimer Disease Research Center,Alzheimer['’]?s? Disease Research Center
Leonard Davis School of Gerontology,Alzheimer Disease Research Center,Alzheimer['’]?s? Disease Research Center
Suzanne Dworak-Peck School of Social Work,Center for Artificial Intelligence in Society (CAIS),Center for (AI|Artificial Intelligence) in Society
Viterbi School of Engineering,Center for Artificial Intelligence in Society (CAIS),Center for (AI|Artificial Intelligence) in Society
Dornsife College of Letters Arts and Sciences,Center for Law and Philosophy,Center for Law and Philosophy
Gould School of Law,Center for Law and Philosophy,Center for Law and Philosophy
Dornsife College of Letters Arts and Sciences,Center for Law and Social Science,Center for Law and Social Science
Gould School of Law,Center for Law and Social Science,Center for Law and Social Science
Dornsife College of Letters Arts and Sciences,"Center for Law, History and Culture",Center for Law History and Culture
Gould School of Law,"Center for Law, History and Culture",Center for Law History and Culture
Viterbi School of Engineering,Center for Quantum Information Science and Technology (CQIST),Center for Quantum Information Science (&|and) Technology
Dornsife College of Letters Arts and Sciences,Center for Quantum Information Science and Technology (CQIST),Center for Quantum Information Science (&|and) Technology
Price School of Public Policy,Center for Risk and Economic Analysis of Threats and Emergencies (CREATE),Center for Risk and Economic Analysis of Terrorism Events|Center for Risk and Economic Analysis of Threats and Emergencies
Viterbi School of Engineering,Center for Risk and Economic Analysis of Threats and Emergencies (CREATE),Center for Risk and Economic Analysis of Terrorism Events|Center for Risk and Economic Analysis of Threats and Emergencies
Annenberg School for Communication and Journalism,Center on Public Diplomacy,Center (for|on) Public Diplomacy
Dornsife College of Letters Arts and Sciences,Center on Public Diplomacy,Center (for|on) Public Diplomacy
Dornsife College of Letters Arts and Sciences,Core Center of Excellence in Nano Imaging (CNI),Core Center of Excellence in Nano Imaging
Viterbi School of Engineering,Core Center of Excellence in Nano Imaging (CNI),Core Center of Excellence in Nano Imaging
Dornsife College of Letters Arts and Sciences,Dornsife/Viterbi Machine Shop,(Dornsife|Viterbi) Machine Shop
Viterbi School of Engineering,Dornsife/Viterbi Machine Shop,(Dornsife|Viterbi) Machine Shop
Keck Medicine of USC,Image Processing and Informatics Lab,(Image Processing and Informatics Lab|IPILab)
Viterbi School of Engineering,Image Processing and Informatics Lab,(Image Processing and Informatics Lab|IPILab)
Suzanne Dworak-Peck School of Social Work,Institute for Addiction Science (IAS),Institute for Addiction Science
Keck Medicine of USC,Institute for Addiction Science (IAS),Institute for Addiction Science
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Leonard D. Schaeffer Center for Health Policy and Economics,Schae?ffer Center for Health Policy (&|and) Economics|Schae?ffer Center
Price School of Public Policy,Leonard D. Schaeffer Center for Health Policy and Economics,Schae?ffer Center for Health Policy (&|and) Economics|Schae?ffer Center
Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,Southern California Clinical and Translational Science Institute (SC CTSI),Southern California Clinical and Translational (Science )?Institute
Keck Medicine of USC,Southern California Clinical and Translational Science Institute (SC CTSI),Southern California Clinical and Translational (Science )?Institute
Herman Ostrow School of Dentistry of USC,Division of Biokinesiology and Physical Therapy,Division of Biokinesiology
Herman Ostrow School of Dentistry of USC,Chan Division of Occupational Science and Occupational Therapy,Chan Division
Leventhal School of Accounting,Leventhal School of Accounting,Leventhal School of Accounting
Dornsife College of Letters Arts and Sciences,Thematic Option Program,Thematic Option
Marshall School of Business,Technology Commercialization,Technology Commercialization
Dornsife College of Letters Arts and Sciences,Science and Technology Studies,Science and Technology Studies
