LawPubID,Include in Dashboard,Publication Type (Article or Book?),USC Author_Last_First,Focal USC Author Division/School,Focal USC Author Department,Authors_dont_use,Author.full.names,Author.s..ID,Title,Year,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,Page.count,DOI,Cited.by,Link,Affiliations,Authors.with.affiliations,Abstract,Indexed.Keywords,Author.Keywords
Law195,Yes,Article,"Gruskin, Sofia",USC Gould School of Law,Law JD Operations,"Abdool Karim, Quarraisha; Macklin, Ruth; Gruskin, Sofia; Klucking, Sara; Lockett, Lejeune; Maxwell, Celia J; Mayer, Kenneth H; Sanders, Edwin; Sawe, Frederick",,7003874547,HIV recency testing: should results be disclosed to individuals tested?,2020,Journal of the International AIDS Society,5,8,,e25584,,,10.1002/jia2.25584,,https://onlinelibrary.wiley.com/doi/abs/10.1002/jia2.25584,,,"Preventing new HIV infection remains a major challenge in our response to the HIV epidemic. A diagnostic assay that could rapidly identify acutely infected individuals who are not yet antibody positive could transform our response to the epidemic, particularly in high burden countries and communities. At an individual level, a positive recency test result would need to be confirmed with a more definitive assay, and that could lead to the individual being immediately offered to initiate antiretroviral therapy. Diagnosing individuals who have recently acquired HIV, initiating them on treatment and achieving viral transmission, reduces the likelihood of onward transmission at a time when viral load is highest, but routinely used antibody assays are unlikely to find them. The identification of new or unknown HIV infections through recency testing together with geo-spatial mapping, could enable prioritization of HIV prevention and treatment efforts to communities with increasing new transmissions. Information on those who have been recently infected or with unknown HIV status could be especially helpful for achieving the first two ‘90’s of the UNAIDS 2020 ‘90-90-90’ strategy: prioritization of HIV testing and linkage to care in addition to the public health benefits of reducing HIV transmission.",,
Law196,Yes,Article,"Gruskin, Sofia",USC Gould School of Law,Law JD Operations,"Gruskin, Sofia; Jardell, William; Ferguson, Laura; Zacharias, Kristin; Khosla, Rajat",,7003874547,"Integrating human rights into sexual and reproductive health research: moving beyond the rhetoric, what will it take to get us there?",2021,Sexual and Reproductive Health Matters,23,1,,1881206,,,10.1080/26410397.2021.1881206,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8011684/,,,"The integration of human rights principles in sexual and reproductive health (SRH) research is often recognised to be of value. Good examples abound but lack of clarity persists as to what defines rights-inclusive SRH research. To help move the field forward, this article seeks to explore how key stakeholders responsible for funding and supporting rights in SRH research understand the strengths and weaknesses of what is being done and where, and begins to catalogue potential tools and actions for the future. Interviews with a range of key stakeholders including international civil servants, donors and researchers committed to and supportive of integrating rights into SRH research were conducted and analysed. Interviews confirmed important differences in what is understood to be SRH rights-oriented research and what it can accomplish. General barriers include lack of understanding about the importance of rights; lack of clarity as to the best approach to integration; fear of adding more work with little added benefit; as well as the lack of methodological guidance or published research methodologies that integrate rights. Suggestions include the development of a comprehensive checklist for each phase of research from developing a research statement through ultimately to publication; development of training modules and workshops; inclusion of rights in curricula; changes in journal requirements; and agreement among key funding sources to mandate the integration of rights principles in research proposals they receive. As a next step, cataloguing issues and concerns at local levels can help move the integration of human rights in SRH research from rhetoric to reality.",,
Law197,Yes,Article,"Gruskin, Sofia",USC Gould School of Law,Law JD Operations,"Gruskin, Sofia",,7003874547,"Reflections on 25 Years of Health and Human Rights: History, Context, and the Need for Strategic Action",2020,Health and Human Rights,29,1,,327,330,,,,https://www.jstor.org/stable/26923497,,,,,
Law8,Yes,Article,"Gruskin, Sofia",USC Gould School of Law,Law JD Operations,"Khosla, Rajat; Allotey, Pascale; Gruskin, Sofia",,7003874547,Reimagining human rights in global health: what will it take?,2022,BMJ Global Health,7,8,,e010373,,,10.1136/bmjgh-2022-010373,,https://gh.bmj.com/content/7/8/e010373,,,"The opening two paragraphs of the preamble of the WHO Constitution read: The right to health is not only enshrined within the preamble of the Constitution of the WHO, but exists in international human rights treaties, regional instruments and over 100 constitutions around the world.1 However, even prior to the pandemic and the events of the last 2 years, it was already abundantly clear that the rhetoric of a right to health did not match up to reality. It was not serving those most in need within countries at the local level, nor was it being fully addressed by the primary global health institutions (eg, WHO, UNICEF and others) with the responsibility for upholding rights and health in their mandates. A closer look highlights an interplay of factors contributing to this. First, the impact of economic, social, cultural and political forces on the normative and operational aspects of both health and human rights locally and globally; second, the impact of national ideologies on geopolitical conversations and the consequences on our (in)ability to assert human rights in health or health in human rights; third, the limited investment, interest and capacity within global health institutions to incorporate human rights in their work; and lastly, the severe limitations of the present architecture which is inapt to sufficiently address current realities (eg, issues that transcend border like climate or the power of corporate actors) appearing to address global and national development priorities.2 Health is political.3 And even as rights are meant to …",,
Law85,Yes,Article,"Gruskin, Sofia",USC Gould School of Law,Law JD Operations,"Morales, Gaea; Bromaghim, Erin; Kim, Angela; Diamond, Caroline; Maggini, Alejo; Everhart, Avery; Gruskin, Sofia; Chase, Anthony Tirado",,7003874547,Classroom Walls and City Hall: Mobilizing Local Partnerships to Advance the Sustainable Development Agenda,2021,Sustainability,59,11,,,,,,,https://www.mdpi.com/2071-1050/13/11/6173,,,"This roundtable discussion raises and responds to the question: What can be learned from academic and local government partnerships to advance the Sustainable Development Goals (SDGs)? We draw on several years of cooperation between the Office of the Mayor of Los Angeles (CA, USA) and academic institutions on how to best advance and integrate the United Nations’ SDGs into policy. Stakeholders from this project give voice to varying perspectives across roles—as city officials, academic partners, graduate and undergraduate students—in the Los Angeles case of SDG implementation. The article outlines a “Task Force” model, under the joint facilitation of faculty advisors and guidance of city partners, that promotes students’ experiential learning, and meaningfully bridges theory and practice in bringing global frameworks to local practice. We highlight what we gain by disaggregating the local and taking space and place seriously in sustainability policy, while underscoring the importance of long-term trust and relationship building in the success of local sustainability efforts.",,
Law86,Yes,Article,"Gruskin, Sofia",USC Gould School of Law,Law JD Operations,"Khosla, Rajat; Gruskin, Sofia",,7003874547,Equity without human rights: a false COVID-19 narrative?,2021,BMJ Global Health,13,7,,,,,,,https://gh.bmj.com/content/6/7/e006720,,,"As of 24 June, about 22.35% of the world population have been vaccinated against COVID-19. This represents a range from a low of 2.48% in Africa to a high of 39.01% in Europe and 41.43% in North America.1 Many have lamented the need to address these gaps and have vociferously called for ensuring vaccine equity. The question must be asked: if the goal is for all people to be vaccinated, will equity alone get us there? Over and above simply the availability of vaccine a multitude of factors have been identified as contributing to gaps in vaccination rates, ranging from individual hesitancy, to community distrust, to inadequate national health systems, let alone global-level supply chain issues and restrictive intellectual property regimes. While not unique to COVID-19, many of these have proven even more nefarious in the context of access to COVID-19 vaccine, with implications for global health more broadly. An equity approach is certainly needed to bring attention to such injustice, but learnings from HIV and other areas of health have demonstrated the utility of attention to human rights norms and standards, and that the rule of law and accountability are key components of what is needed to truly make the difference. The last decades have shown time and again the value of human rights not only for advocacy purposes but also to provide sustained, long-term solutions. Therefore, we posit that an equity-oriented approach systematically combined with human rights may help not only to address the present vaccine crisis but to address inequalities in global health more broadly. As far back as 2003, …",,
Law87,Yes,Article,"Gruskin, Sofia",USC Gould School of Law,Law JD Operations,"Hempel, Susanne; Ferguson, Laura; Bolshakova, Maria; Yagyu, Sachi; Fu, Ning; Motala, Aneesa; Gruskin, Sofia",,7003874547,"Frameworks, measures, and interventions for HIV-related internalised stigma and stigma in healthcare and laws and policies: systematic review protocol",2021,BMJ Open,6,12,,,,,,,https://bmjopen.bmj.com/content/11/12/e053608,,,"Introduction There is strong global commitment to eliminate HIV-related stigma. Wide variation exists in frameworks and measures, and many strategies to prevent, reduce or mitigate stigma have been proposed but critical factors determining success or failure remain elusive. Methods and analysis Building on existing knowledge syntheses, we designed a systematic review to identify frameworks, measures and intervention evaluations aiming to address internalised stigma, stigma and discrimination in healthcare, and stigma and discrimination at the legal or policy level. The review addresses four key questions (KQ): KQ1: Which conceptual frameworks have been proposed to assess internal stigma, stigma and discrimination experienced in healthcare settings, and stigma and discrimination entrenched in national laws and policies? KQ2: Which measures of stigma have been proposed and what are their descriptive properties? KQ3: Which interventions have been evaluated that aimed to reduce these types of stigma and discrimination or mitigate their adverse effects and what are the effectiveness and unintended consequences? KQ4: What common ‘critical factors for success or failure’ can be identified across interventions that have been evaluated? We will search PubMed, PsycINFO, Web of Science, Universal Human Rights Index, HeinOnline, PAIS, HIV Legal Network, CDSR, Campbell Collaboration, PROSPERO and Open Science Framework. Critical appraisal will assess the source, processes and consensus finding for frameworks; COnsensus-based Standards for the selection of health Measurement Instruments criteria for measures; and risk of bias for interventions. Quality of evidence grading will apply . A gap analysis will provide targeted recommendations for future research. We will establish a compendium of frameworks, a comprehensive catalogue of available measures, and a synthesis of intervention characteristics to advance the science of HIV-related stigma. PROSPERO registration number CRD42021249348.",,
Law89,Yes,Article,"Gruskin, Sofia",USC Gould School of Law,Law JD Operations,"Teo, A. K. J.; Ong, C. W. M.; Hsu, L. Y.; Gruskin, Sofia",,7003874547,COVID-19 and TB: a progression-regression conundrum,2021,The International Journal of Tuberculosis and Lung Disease,11,6,,,,,,,https://www.ingentaconnect.com/content/10.5588/ijtld.21.0219,,,,,
Law9,Yes,Article,"Gruskin, Sofia",USC Gould School of Law,Law JD Operations,"Ferguson, Laura; Narasimhan, Manjulaa; Gutierrez, Jose; Jardell, William; ",,7003874547,"Law, human rights and gender in practice: an analysis of lessons from implementation of self-care interventions for sexual and reproductive health",2022,Sexual and Reproductive Health Matters,29,3,,2105284,,,10.1080/26410397.2022.2105284,,https://doi.org/10.1080/26410397.2022.2105284,,,"Self-care interventions for health are becoming increasingly available, and among the preferred options, including during the COVID-19 pandemic. This research assessed the extent of attention to laws and policies, human rights and gender in the implementation of self-care interventions for sexual and reproductive health (SRH), to identify where additional efforts to ensure an enabling environment for their use and uptake will be useful. A literature review of relevant studies published between 2010 and 2020 was conducted using PubMed, Scopus and Web of Science. Relevant data were systematically abstracted from 61 articles. In March–April 2021, semi-structured interviews were conducted with 10 key informants, selected for their experience implementing self-care interventions for SRH, and thematically analysed. Laws and policies, rights and gender are not being systematically addressed in the implementation of self-care interventions for SRH. Within countries, there is varied attention to the enabling environment including the acceptability of interventions, privacy, informed consent and gender concerns as they impact both access and use of specific self-care interventions, while other legal considerations appear to have been under-prioritised. Operational guidance is needed to develop and implement supportive laws and policies, as well as to ensure the incorporation of rights and gender concerns in implementing self-care interventions for SRH.",,
Law90,Yes,Article,"Gruskin, Sofia",USC Gould School of Law,Law JD Operations,"Gruskin, Sofia; Zacharias, Kristin; Jardell, William; Ferguson, Laura; Khosla, Rajat",,7003874547,Inclusion of human rights in sexual and reproductive health programming: Facilitators and barriers to implementation,2021,Global Public Health,25,10,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8475719/,,,"The need to prioritise those furthest behind is well understood in global health circles, and how human rights norms and standards can help often touted. As rights concerns are particularly recognised in sexual and reproductive health (SRH) programming, as part of a larger exercise, a review was conducted to identify documented barriers and facilitators to implementation. Given the role global guidance plays in implementing rights-based approaches to SRH, UNDP/UNFPA/UNICEF/WHO/World Bank Special Programme of Research, Development and Research Training in Human Reproduction (HRP) guidelines, tools, recommendations and guidance that include the explicit mention of human rights principles served as the basis for this exercise. This was followed by an extensive review of the literature. Sources reviewed confirmed barriers include not only broad structural, policy and health systems barriers but financial, staffing and time constraints, as well as lack of understanding of concretely how to include human rights in these efforts. Facilitators include the existence of human rights champions, leadership, strong civil society participation, training, and funding made available specifically for implementation. Investment in indicators and documentation sensitive to human rights is warranted in sexual and reproductive health, as well as other health topics, to best serve populations who need them most.",,
Law92,Yes,Article,"Gruskin, Sofia",USC Gould School of Law,Law JD Operations,"Buse, Kent; Societies, Healthier; Gruskin, Sofia",,7003874547,The right to a healthy environment: making it matter,2021,BMJ (Clinical research ed.),29,,,,,,,,https://www.bmj.com/content/375/bmj.n3076,,,"Kent Buse and Sofia Gruskin reflect on the recent recognition of the universal right to a healthy environment, and outline actions to help accelerate the realisation of this right—particularly for those at greatest risk of the impact of climate change",,
Law93,Yes,Article,"Guzman, Andrew",USC Gould School of Law,Law JD Operations,"Guzman, Andrew; Raustiala, Kal",,7102622283,The Rarity of Rewarding,2021,AJIL Unbound,375,,,,,,,,https://www.cambridge.org/core/journals/american-journal-of-international-law/article/rarity-of-rewarding/311DB6BB63DEB4F3830CB2FF4AB09C53,,,"Explaining the drivers of compliance with international law has been a central concern of international lawyers (and many others) for decades. As international agreements have proliferated—exact numbers are elusive, but there may be 75,000 or more—understanding compliance has only grown in importance. In previous work we each have explored the question of compliance, focusing on the conceptual difficulties with compliance as a measure of effectiveness, the role of reputation, and other factors. The literature on compliance with international law is rich, interdisciplinary, and, at this point, over three decades old. In Rewarding in International Law, Anne van Aaken and Betül Simsek seek to offer a new perspective on the enduring topic of compliance: that of rewarding. In this essay, we suggest that rewards, when properly defined, are a conceptually interesting but empirically rare tool in the arsenal of states seeking to improve compliance with international law.",,
Law198,Yes,Article,"Hovenkamp, Erik",USC Gould School of Law,Law JD Operations,"Bryan, Kevin; Hovenkamp, Erik",,57147962400,Antitrust Limits on Startup Acquisitions,2020,Review of Industrial Organization,22,4,,615,636,,,,https://econpapers.repec.org/article/kaprevind/v_3a56_3ay_3a2020_3ai_3a4_3ad_3a10.1007_5fs11151-020-09751-5.htm,,,"Should there be limits on startup acquisitions by dominant firms? Efficiency requires that startups sell their technology to the right incumbents, that they develop the right technology, and that they invest the right amount in R&D. In a model of differentiated oligopoly, we show distortions along all three margins if there are no limits on startup acquisition. Leading incumbents make acquisitions partially to keep lagging incumbents from catching up technologically. When startups can choose what kind of technology they invent, they are biased toward inventions that improve the leader’s technology rather than those that help the laggard incumbent catch up. Further, upon obtaining a pure monopoly, the leading incumbent’s marginal willingness to pay for new technologies falls abruptly, which diminishes private returns on future innovations. We consider antitrust measures that could mitigate these problems.",,
Law199,Yes,Article,"Hovenkamp, Erik",USC Gould School of Law,Law JD Operations,"Bryan, Kevin A.; Hovenkamp, Erik",,57147962400,"Startup Acquisitions, Error Costs, and Antitrust Policy",2020,The University of Chicago Law Review,56,2,,331,656,,,,https://www.jstor.org/stable/26892414,,,"Startup acquisitions by dominant incumbents, especially in high tech, have recently attracted significant attention. Many researchers and practitioners worry about harms to competition or innovation. However, there has been very little antitrust enforcement in this area. This is emblematic of a prominent feature of modern antitrust law: a strong preference for erring on the side of nonenforcement. A leading rationale for this preference is the claim that market power self-corrects by attracting new entrants who discipline incumbents. As a result, plaintiffs generally face very demanding evidentiary requirements, which are particularly hard to satisfy in the case of startup acquisitions. A typical startup is both new and small, providing little data for estimating competitive effects. Despite this uncertainty, it is unlikely that society is best served by a policy of near-universal inaction. Recent work in economics, both empirical and theoretical, identifies various harms to competition and innovation as a result of startup acquisitions in concentrated markets. Further, the traditional error cost argument is particularly inapposite in this context, as startup acquisitions may be undertaken precisely because they forestall competitive entry. We therefore argue for expanded antitrust intervention (that is, more than zero) in startup acquisitions by dominant incumbents. In practice, the acquirer's market power and the transaction value may be useful signals of the risk of harm.",,
Law200,Yes,Article,"Hovenkamp, Erik",USC Gould School of Law,Law JD Operations,"Hovenkamp, Erik; Simcoe, Timothy",,57147962400,Tying and Exclusion in FRAND Licensing: Evaluating Qualcomm,2020,The Antitrust Source,87,4,, ,,,,,,,,,,
Law202,Yes,Book,"Jenkins, Jeffery A.",USC Gould School of Law,Law JD Operations,"Heersink, Boris; Jenkins, Jeffery A.",,7402867567,"Republican Party politics and the American South, 1865-1968",2020,,,,,,,,,,,,,"This book tells the story of the Republican Party in the South from Reconstruction through the late-1960s. The history of the Grand Old Party (GOP) in the South during Reconstruction is fairly well known, as is its reemergence in the region during the Barry Goldwater and Richard Nixon presidential campaigns in 1964 and 1968. What is not well known, however, is the period in between: what did the GOP in the South look like between the end of Reconstruction and before the modern 'Southern strategy'? A common assumption is that the Republican Party in the South all but disappeared after the demise of Reconstruction, and that it only reemerged when the national Democratic Party went ""all in"" on civil rights in the mid-1960s while the national Republican Party (led by Goldwater) largely rejected civil rights.1 Certainly, the Southern GOP achieved little electoral success in the region in this period. Yet, the Republican Party remained in existence in every state of the ex-Confederacy.",,
Law201,Yes,Article,"Jenkins, Jeffery A.",USC Gould School of Law,Law JD Operations,"Heersink, Boris; Jenkins, Jeffery A.; Olson, Michael P.; Peterson, Brenton D.",,7402867567,"Natural Disasters, ‘Partisan Retrospection,’ and U.S. Presidential Elections",2022,Political Behavior,19,3,,1225,1246,,10.1007/s11109-020-09653-y,,https://doi.org/10.1007/s11109-020-09653-y,,,"Research investigating whether natural disasters help or hurt politicians’ electoral fortunes has produced conflicting results. Some find that voters punish elected officials indiscriminately in the wake of a natural disaster (i.e. ‘blind retrospection’). Others find that voters instead incorporate elected officials’ subsequent relief efforts in their assessment (i.e. ‘attentive retrospection’). We argue that an additional consideration affects voters’ response to natural disasters: the elected official’s partisan affiliation. We contend that whether voters reward or punish incumbents following a disaster is influenced by whether or not the official is a co-partisan. We look for evidence of such ‘partisan retrospection’ by examining the effects of Hurricane Sandy on the 2012 presidential election, and find that voters’ reactions to disaster damage were strongly conditioned by pre-existing partisanship, with counties that previously supported Obama reacting far more positively to disaster damage than those that had earlier opposed him. We then use existing data to investigate the relationship between disasters and presidential elections between 1972 and 2004. We find that incumbent-party candidates performed no worse in disaster-affected co-partisan counties than in non-affected co-partisan counties, but that they underperformed in disaster-affected counties safely in the opposing party column.",,
Law203,Yes,Article,"Jenkins, Jeffery A.",USC Gould School of Law,Law JD Operations,"Heersink, Boris; Jenkins, Jeffery A.",,7402867567,Whiteness and the Emergence of the Republican Party in the Early Twentieth-Century South,2020,Studies in American Political Development,44,1,,71,90,,10.1017/S0898588X19000208,,https://www.cambridge.org/core/journals/studies-in-american-political-development/article/whiteness-and-the-emergence-of-the-republican-party-in-the-early-twentiethcentury-south/899B4B98A78353683C3C6050DFA5771B,,,"In the post-Reconstruction South, two Republican factions vied for control of state party organizations. The Black-and-Tans sought to keep the party inclusive and integrated, while the Lily-Whites worked to turn the GOP into a whites-only party. The Lily-Whites ultimately emerged victorious, as they took over most state parties by the early twentieth century. Yet no comprehensive data exist to measure how the conflict played out in each state. To fill this void, we present original data that track the racial composition of Republican National Convention delegations from the South between 1868 and 1952. We then use these data in a set of statistical analyses to show that, once disfranchising laws were put into place, the “whitening” of the GOP in the South led to a significant increase in the Republican Party's vote totals in the region. Overall, our results suggest that the Lily-White takeover of the Southern GOP was a necessary step in the Republican Party's reemergence—and eventual dominance—in the region during the second half of the twentieth century.",,
Law204,Yes,Article,"Jenkins, Jeffery A.",USC Gould School of Law,Law JD Operations,"Clarke, Andrew J.; Jenkins, Jeffery A.; Micatka, Nathan K.",,7402867567,How Have Members of Congress Reacted to President Trump’s Trade Policy?,2019,The Forum,34,4,,631,645,,10.1515/for-2019-0038,,https://www.degruyter.com/document/doi/10.1515/for-2019-0038/html,,,"While a number of studies in recent years explore the particularistic tendencies of presidents – targeting various benefits to districts and states that will help their and their party’s electoral prospects – little work has explored how members of Congress react to such behavior. We take some initial steps in this regard by examining how members have responded to President Donald Trump’s trade initiatives. We analyze congressional newsletter mentions of tariffs or trade as a means of exploring congressional reaction. We find a positive relationship between tariff/trade mentions and partisanship, as Republican members and members from states that Trump won in 2016 are more likely to refer to tariffs/trade in their newsletters. This represents, we argue, a different kind of credit claiming. These basic empirical patterns set the stage for more systematic analysis in the future.",,
Law94,Yes,Article,"Jenkins, Jeffery A.",USC Gould School of Law,Law JD Operations,"Jenkins, Jeffery A.; Peck, Justin",,7402867567,The Blair Education Bill: A Lost Opportunity in American Public Education,2021,Studies in American Political Development,115,1,,,,,,,https://www.cambridge.org/core/journals/studies-in-american-political-development/article/blair-education-bill-a-lost-opportunity-in-american-public-education/00188E9BE26F86F03BCE1B46C845052F,,,"Through the 1880s, Senator Henry Blair (R-NH) spearheaded an effort to erode local control of education by turning Congress into a source of funds and oversight for state-level primary and secondary schools. The Blair Bill won support from an interregional, interracial, bipartisan coalition. It passed in the Senate on three separate occasions, was endorsed by presidents, and was a frequent topic of discussion among party elites. Yet in 1890 the bill failed for the last time, and local control would go largely unchanged until the 1965 Elementary and Secondary Education Act. In this article we explore the decade-long battle surrounding Blair's proposal. Our analysis focuses on this lost opportunity as a way of highlighting the coalitional and institutional dynamics that work to prevent reform in an otherwise favorable environment. In this way, we contribute to a large literature on the uneven course of American state development.",,
Law95,Yes,Article,"Jenkins, Jeffery A.",USC Gould School of Law,Law JD Operations,"Gray, Thomas R.; Jenkins, Jeffery A.",,7402867567,Congress and the Political Economy of the National Endowment for the Arts,2021,Social Science Quarterly,35,4,,,,,,,https://onlinelibrary.wiley.com/doi/abs/10.1111/ssqu.12990,,,"Objective We examine the relationship between the Congress and the National Endowment for the Arts (NEA), from the agency's inception in the mid-1960s to the present. The NEA has seen its fortunes rise and fall over time, as congressional appropriations and scrutiny have fluctuated with ideological and partisan change in the House and Senate. Methods We use Ordinary Least Squares (OLS) and logistic regression models to examine the politics of the NEA systematically. Results We find that while the NEA has enjoyed some bipartisan support throughout its tenure, assistance for the agency has been more likely to come from more liberal members and Democrats, respectively. We also uncover some evidence that particular states and districts benefit more of less from NEA grants. Conclusion Overall, states and districts represented by Democrats do better in terms of both grants and grant dollars than states and districts represented by Republicans, with the most liberal Democratic House members doing especially well.",,
Law96,Yes,Article,"Jenkins, Jeffery A.",USC Gould School of Law,Law JD Operations,"Chatfield, Sara; Jenkins, Jeffery A.; Iii, Charles Stewart",,7402867567,Polarization Lost: Exploring the Decline of Ideological Voting in Congress after the Gilded Age,2021,Journal of Historical Political Economy,102,2,,,,,,,https://www.nowpublishers.com/article/Details/HPE-0009,,,Polarization Lost: Exploring the Decline of Ideological Voting in Congress after the Gilded Age,,
Law97,Yes,Article,"Jenkins, Jeffery A.",USC Gould School of Law,Law JD Operations,"Gray, Thomas R.; Jenkins, Jeffery A.",,7402867567,Yellow Fever and Institutional Development: The Rise and Fall of the National Board of Health,2021,Journal of Political Institutions and Political Economy,1,1,,,,,,,https://www.nowpublishers.com/article/Details/PIP-0033,,,Yellow Fever and Institutional Development: The Rise and Fall of the National Board of Health,,
Law207,Yes,Book chapter,"Jimenez, Felipe",USC Gould School of Law,Law JD Operations,"Jiménez, Felipe",,57220932287,¿Es el enriquecimiento injustificado un principio de justicia?,2020,Fundamentos Filosóficos Del Derecho Civil Chileno,,,,,,,,,https://articulo.mercadolibre.cl/MLC-904096420-fundamentos-filosoficos-del-derecho-civil-chileno-derecho-_JM,,,Fundamentos Filosóficos Del Derecho Civil ChilenoEditor Esteban Pereira FredesEditorial Rubicón2019596 Páginas Nuevo. Sellado. Tapas DurasMedidas Alto 24 cm Ancho 17 cm Grosor 4 cm Peso 1 Kilo 20 Gramos Aproximadamente,,
Law100,Yes,Article,"Jimenez, Felipe",USC Gould School of Law,Law JD Operations,"Jiménez, Felipe",,57220932287,Two questions for private law theory,2021,Jurisprudence,,3,,,,,,,https://doi.org/10.1080/20403313.2021.1908015,,,"This article claims that private law theorists ought to bear in mind the distinction between wholesale questions about the best interpretation or justification of legal institutions, and retail questions about their internal operation – in other words, the distinction between questions about legal institutions and questions within them. This distinction has been obscured in part of recent private law theory, as recent discussions involving monism, pluralism, and private law adjudication show. The article explores these theoretical discussions and identifies some of their shortcomings. It also argues that, given the institutional character of private law, the distinction is plausible, and that – while it already underlies some contemporary discussions – it should be given much more salience, given the important contribution it could make to an adequate methodology in private law theory.",,
Law205,Yes,Article,"Jimenez, Felipe",USC Gould School of Law,Law JD Operations,"Jimenez, Felipe",,57220932287,A Formalist Theory of Contract Law Adjudication,2020,Utah Law Review,17,5,,1121,1168,,,,https://heinonline.org/HOL/P?h=hein.journals/utahlr2020&i=1159,,,,,
Law206,Yes,Article,"Jimenez, Felipe",USC Gould School of Law,Law JD Operations,"Jiménez, Felipe",,57220932287,"Contracts, markets, and justice",2020,University of Toronto Law Journal,2020,1,,144,164,,10.3138/utlj-2020-0062,,https://www.utpjournals.press/doi/abs/10.3138/utlj-2020-0062,,,"Peter Benson’s Justice in Transactions offers a compelling internal, non-instrumental Hegelian conception of the law of contracts. It also connects this non-instrumental conception with broader issues like the social theory of the market, liberal justification, and socio-economic justice. The book is a remarkable achievement. As such, it will – and should – become part of the canon of contract theory. In this review essay, I focus on the theoretical status of the reconstruction offered by Benson in Part I of the book. I am sympathetic to the ‘juridical’ starting point of Benson’s theory and agree that contract law and its doctrinal categories should be taken seriously. However, I argue that Benson’s theory sits at a middle position between a doctrinalist account and a full-blown philosophical theory of contracts and that this detracts from its ability to provide an adequate public justification of contract law as a legal institution. Finally, I cast some doubts on Benson’s account of the relationship between his juridical conception of contract and markets and distributive justice.",,
Law98,Yes,Article,"Jimenez, Felipe",USC Gould School of Law,Law JD Operations,"Jiménez, Felipe",,57220932287,"Law, Morality, and the One-System View: A Response to T. R. S. Allan",2021,The American Journal of Jurisprudence,2,1,,,,,,,https://doi.org/10.1093/ajj/auab002,,,"This is a response to a recent article by T. R. S. Allan. Allan makes several insightful observations about law and legal practice. As Allan correctly notes, (i) the moral evaluation of legal rules and institutions is carried out within legal practice and its traditions, and therefore the view that we can come up with practice-independent moral principles to evaluate the law is at least dubious; (ii) legislative enactments require judicial interpretation to determine their meaning and their incorporation within a democratic legal system; and (iii) law fulfils its functions, and allows for impartial resolution of disputes, by establishing public standards of justice that displace private judgments about political morality. In this reply, I suggest that—in contrast to what non-positivists like Allan would argue—each of these observations is either compatible with, or reinforces, a positivist view of law and legal institutions. Arguably, non-positivist views still have an advantage over positivism: they seem to fit easily with most citizens’ and officials’ judgments about legal obligation. However, positivism can offer an equally direct explanation of those judgments.",,
Law99,Yes,Article,"Jimenez, Felipe",USC Gould School of Law,Law JD Operations,"Jiménez, Felipe",,57220932287,Some Doubts About Folk Jurisprudence: The Case of Proximate Cause,2021,The University of Chicago Law Review Online,66,,,,,,,,https://lawreviewblog.uchicago.edu/2021/08/23/jimenez-jurisprudence/,,,"Felipe Jiménez offers a critique of folk jurisprudence, arguing that law and legal concepts depend on how legal officials—not the population at large—conceive of them.",,
Law176,Yes,Book chapter,"Johnson, Justin",USC Gould School of Law,Law JD Operations,"Johnson, Justin; Sokol, D. Daniel",,Gould6,Understanding AI Collusion and Compliance,2021,The Cambridge Handbook of Compliance,,,,,,,,,https://www.cambridge.org/core/books/cambridge-handbook-of-compliance/understanding-ai-collusion-and-compliance/1566B4E052B9D489ECD3E73E934B4660,,,"Antitrust compliance scholarship, particularly with a focus on collusion, has been an area of study for some time (; ; ; ). Changes in technology and the rise of artificial intelligence (AI) and machine-learning have created new possibilities both for anticompetitive behavior and for detection of algorithmic collusion. To some extent, AI collusion takes traditional ideas of collusion and simply provides a technological overlay to them. However, in some instances, the mechanisms of both collusion and detection can be transformed using AI. This chapter discusses existing theoretical and empirical work, and identifies research gaps as well as avenues for new scholarship on how firms or competition authorities might invest in AI compliance to improve detection of wrongdoing. We suggest where AI collusion is possible and offer new twists to where prior work has not identified possible collusion. Specifically, we identify the importance of AI in addressing the “trust” issue in collusion. We also identify that AI collusion is possible across nonprice dimensions, such as manipulated product reviews and ratings, and discuss potential screens involving co-movements of prices and ratings. We further emphasize that AI may encourage entry, which may limit collusive prospects. Finally, we discuss how AI can be used to help with compliance both at the firm level and by competition authorities.",,
