pub,new_classification
Development and validation of non-axisymmetric body-force propulsor model,Not-Related
Design space exploration of future open rotor configurations,Not-Related
Capturing Aero-Propulsive Coupling Effects With a Body-Force Propulsor Model,Not-Related
Design Space Exploration of Blended Wing Bodies,Not-Related
Preliminary Assessment of Transition Prediction in Reynolds-Averaged Navier-Stokes Simulations of Two-Dimensional Flows,Not-Related
"New Mechanistic Insights, Novel Treatment Paradigms, and Clinical Progress in Cerebrovascular Diseases",SDG-Related
Editorial: Imaging of the blood-brain barrier in Alzheimer's disease and related disorders,SDG-Related
Heterogeneous blood-brain barrier dysfunction in cerebral small vessel diseases,SDG-Related
Atp13a5 Marker Reveals Pericyte Specification in the Mouse Central Nervous System,SDG-Related
Ensemble-based deep learning for estimating PM2.5 over California with multisource big data including wildfire smoke,Sustainability-Focused
Biomedical REAl-Time Health Evaluation (BREATHE): Toward an mHealth informatics platform,Sustainability-Focused
Prenatal ambient air pollution and maternal depression at 12 months postpartum in the MADRES pregnancy cohort,Sustainability-Focused
Childhood traffic-related air pollution and adverse changes in subclinical atherosclerosis measures from childhood to adulthood,Sustainability-Focused
Ambient air pollutants are associated with morning serum cortisol in overweight and obese Latino youth in Los Angeles,Sustainability-Focused
Estimating hourly PM2.5 concentrations at the neighborhood scale using a low-cost air sensor network: A Los Angeles case study,Sustainability-Focused
"Deliberating Performance Targets: Follow-on workshop discussing PM10, NO2, CO, and SO2 air sensor targets",Sustainability-Focused
"Contribution of tailpipe and non-tailpipe traffic sources to quasi-ultrafine, fine and coarse particulate matter in southern California",Sustainability-Focused
Identifying pre-conception and pre-natal periods in which ambient air pollution exposure affects fetal growth in the predominately Hispanic MADRES cohort,Sustainability-Focused
Detected prenatal perfluorooctanoic acid (PFOA) exposure is associated with decreased fetal head biometric parameters in participants experiencing higher perceived stress during pregnancy in the MADRES cohort,Sustainability-Focused
Daily Associations of Air Pollution and Pediatric Asthma Risk Using the Biomedical REAI-Time Health Evaluation (BREATHE) Kit,Sustainability-Focused
Household pesticide exposures and infant gross motor development in the MADRES cohort,Sustainability-Focused
Association between Ambient Air Pollution and Birth Weight by Maternal Individual- and Neighborhood-Level Stressors,Sustainability-Focused
Developing a National-Scale Exposure Index for Combined Environmental Hazards and Social Stressors and Applications to the Environmental Influences on Child Health Outcomes (ECHO) Cohort,Sustainability-Focused
Prenatal ambient air pollution exposure and child weight trajectories from the 3rd trimester of pregnancy to 2 years of age: a cohort study,Sustainability-Focused
Preconceptional and prenatal exposure to air pollutants and risk of gestational diabetes in the MADRES prospective pregnancy cohort study,Sustainability-Focused
"Urinary fluoride levels and metal co-exposures among pregnant women in Los Angeles, California",Sustainability-Focused
Sources of personal PM2.5 exposure during pregnancy in the MADRES cohort,Sustainability-Focused
GPS-derived environmental exposures during pregnancy and early postpartum – Evidence from the madres cohort,Sustainability-Focused
"Prenatal air pollution exposure is associated with inflammatory, cardiovascular, and metabolic biomarkers in mothers and newborns",Sustainability-Focused
Increased Risk of Gestational Hypertension by Periconceptional Exposure to Ambient Air Pollution and Effect Modification by Prenatal Depression,Sustainability-Focused
Childhood Air Pollution Exposure Associated with Self-reported Bronchitic Symptoms in Adulthood,Sustainability-Focused
Spatiotemporal imputation of MAIAC AOD using deep learning with downscaling,SDG-Related
W-tss: A wavelet-based algorithm for discovering time series shapelets,SDG-Related
Prenatal metal mixtures and fetal size in mid-pregnancy in the MADRES study,SDG-Related
Why Indoor Chemistry Matters: A National Academies Consensus Report,SDG-Related
Impacts of distinct travel behaviors on potential air pollution exposure measurement error,Sustainability-Focused
“They might take my baby away:” Black and Latina peoples’ experiences of using cannabis during pregnancy in California while engaged in perinatal care,SDG-Related
Host factors are associated with vaginal microbiome structure in pregnancy in the ECHO Cohort Consortium,SDG-Related
A new approach to monitor the life cycle of urban street tree canopies,Sustainability-Focused
The changing PM2.5 dynamics of global megacities based on long-term remotely sensed observations,Sustainability-Focused
SEnDAE: A resource for expanding research into social and environmental determinants of health,SDG-Related
Compliance considerations in the geo-enrichment of an EHR data warehouse with social and environmental determinants of health,SDG-Related
ZIP Code and ZIP Code Tabulation Area Linkage: Implications for Bias in Epidemiologic,SDG-Related
Bone-inspired healing of 3D-printed porous ceramics,SDG-Related
Mechanics of self-healing thermoplastic elastomers,SDG-Related
Molecular simulation-guided and physics-informed mechanistic modeling of multifunctional polymers,SDG-Related
Photosynthesis-assisted remodeling of three-dimensional printed structures,SDG-Related
Mechanics of stretchy elastomer lattices,SDG-Related
3D Printing of Nacre-Inspired Structures with Exceptional Mechanical and Flame-Retardant Properties,SDG-Related
"Healable, memorizable, and transformable lattice structures made of stiff polymers",Not-Related
Elastically-supported lattices for tunable mechanical topological insulators,Not-Related
Mechanics of bacteria-assisted extrinsic healing,Not-Related
Sharkskin-Inspired Magnetoactive Reconfigurable Acoustic Metamaterials,Not-Related
Enabling novel dispersion and topological characteristics in mechanical lattices via stable negative inertial coupling,Not-Related
Sticky rouse time features the self-adhesion of supramolecular polymer networks,Not-Related
Mechanics of photosynthesis assisted polymer strengthening,Not-Related
Growing Living Composites with Ordered Microstructures and Exceptional Mechanical Properties,Not-Related
Magnetoactive Acoustic Topological Transistors,Not-Related
Designing Topological Acoustic Lattices via Electroacoustic Analogies,Not-Related
Mechanics of Living Lattice Composites With Growing Crystals,Not-Related
Parsing the Heterogeneity of Brain Metabolic Disturbances in Autism Spectrum Disorder,SDG-Related
Managing therapy-associated neurotoxicity in children with ALL,SDG-Related
Using tissue microstructure and multimodal MRI to parse the phenotypic heterogeneity and cellular basis of autism spectrum disorder,SDG-Related
Geometry-derived statistical significance: A probabilistic framework for detecting true positive findings in MRI data,SDG-Related
Aberrant hippocampus and amygdala morphology associated with cognitive deficits in schizophrenia,SDG-Related
A randomized controlled trial of desvenlafaxine-induced structural brain changes in the treatment of persistent depressive disorder,SDG-Related
The multi-level outcome study of psychoanalysis for chronically depressed patients with early trauma (MODE): rationale and design of an international multicenter randomized controlled trial,SDG-Related
A multi-site 99mTc-HMPAO SPECT study of cerebral blood flow in a community sample of patients with major depression,SDG-Related
Progression of brain injuries associated with methotrexate chemotherapy in childhood acute lymphoblastic leukemia,SDG-Related
"Brain tissue microstructure in a prospective, longitudinal, population-based cohort of preterm and term-born young adults",SDG-Related
Prospective study of e-cigarette use and respiratory symptoms in adolescents and young adults,SDG-Related
E-cigarette product characteristics and subsequent frequency of cigarette smoking,Not-Related
Risk factors associated with subsequent initiation of cigarettes and e-cigarettes in adolescence: A structural equation modeling approach,Not-Related
Compliance in Controlled E-cigarette Studies,Not-Related
An experimental and modeling study of the application of membrane contactor reactors to methanol synthesis using pure CO2 feeds,Sustainability-Focused
Simulation of methanol synthesis in a membrane-contactor reactor,SDG-Related
Investigation of CO2 and methanol solubility at high pressure and temperature in the ionic liquid [EMIM][BF4] employed during methanol synthesis in a membrane-contactor reactor,Not-Related
Developmental Trajectories of Delinquent and Aggressive Behavior: Evidence for Differential Heritability,Not-Related
Genome-wide analysis highlights contribution of immune system pathways to the genetic architecture of asthma,SDG-Related
Social ties and the selection of China’s political elite,Not-Related
Plasma concentrations of lipophilic persistent organic pollutants and glucose homeostasis in youth populations,Sustainability-Focused
Metabolic Signatures of Youth Exposure to Mixtures of Per-and Polyfluoroalkyl Substances: A Multi-Cohort Study,Sustainability-Focused
Metabolic pathways altered by air pollutant exposure in association with lipid profiles in young adults,Sustainability-Focused
"Associations of per- and polyfluoroalkyl substances, polychlorinated biphenyls, organochlorine pesticides, and polybrominated diphenyl ethers with oxidative stress markers: A systematic review and meta-analysis",Sustainability-Focused
Exposure to perfluoroalkyl substances and longitudinal changes in bone mineral density in adolescents and young adults: A multi-cohort study,Sustainability-Focused
"Per- and polyfluoroalkyl substances, polychlorinated biphenyls, organochlorine pesticides, and polybrominated diphenyl ethers and dysregulation of MicroRNA expression in humans and animals—A systematic review",Sustainability-Focused
Associations of dietary intake and longitudinal measures of per- and polyfluoroalkyl substances (PFAS) in predominantly Hispanic young Adults: A multicohort study,Sustainability-Focused
Exposure to per- and polyfluoroalkyl substances and high-throughput proteomics in Hispanic youth,Sustainability-Focused
Environmental pollutant risk factors for worse COVID-19 related clinical outcomes in predominately hispanic and latino populations,Sustainability-Focused
Per-and polyfluoroalkyl substances and disrupted sleep: mediating roles of proteins,Sustainability-Focused
The potential mediating role of the gut microbiome and metabolites in the association between PFAS and kidney function in young adults: A proof-of-concept study,Sustainability-Focused
Iron Status and Homeostasis Across 2 Competitive Seasons in NCAA Division I Collegiate Cross-Country Runners Residing at Low Altitude,SDG-Related
Exposure to perfluoroalkyl substances and risk of hepatocellular carcinoma in a multiethnic cohort,SDG-Related
Altered Tumor Necrosis Factor Response in Neurologic Postacute SARS-CoV-2 Syndrome,SDG-Related
Circulating microRNA expression and nonalcoholic fatty liver disease in adolescents with severe obesity,SDG-Related
Cardiometabolic profiles and proteomics associated with obesity phenotypes in a longitudinal cohort of young adults,SDG-Related
Changes in plasma concentrations of per- and Polyfluoroalkyl substances after bariatric surgery in adolescents from the Teen-Longitudinal Assessment of Bariatric Surgery (Teen-LABS) study,SDG-Related
Exposure to per- and polyfluoroalkyl substances and alterations in plasma microRNA profiles in children,SDG-Related
Proteomic Analysis Uncovers Multiprotein Signatures Associated with Early Diabetic Kidney Disease in Youth with Type 2 Diabetes Mellitus,SDG-Related
Attenuated kidney oxidative metabolism in young adults with type 1 diabetes,SDG-Related
An extension of latent unknown clustering integrating multi-omics data (LUCID) incorporating incomplete omics data,Not-Related
Self-Regenerative Ni-Doped CaTiO3/CaO for Integrated CO2 Capture and Dry Reforming of Methane,Sustainability-Focused
Zr-Modified Ni/CaO Dual Function Materials (DFMs) for Direct Methanation in an Integrated CO2 Capture and Utilization Process,Sustainability-Focused
Harnessing Ammonia as a Hydrogen Carrier for Integrated CO2 Capture and Reverse Water-Gas Shift,Sustainability-Focused
Cardiac NF-KB Acetylation Increases While Nrf2-Related Gene Expression and Mitochondrial Activity Are Impaired during the Progression of Diabetes in UCD-T2DM Rats,SDG-Related
Activation of the muscle-to-brain axis ameliorates neurocognitive deficits in an Alzheimer’s disease mouse model via enhancing neurotrophic and synaptic signaling,SDG-Related
Pollutant Formation during Utilization of Renewable Natural Gas Containing Trace Ammonia Impurities,Sustainability-Focused
Air pollution amyloidogenesis is attenuated by the gamma-secretase modulator GSM-15606,Sustainability-Focused
Recent advances in sustainable syngas production by catalytic CO2 reforming of ethanol and glycerol,Sustainability-Focused
Controlling selectivity for dechlorination of poly(vinyl chloride) with (xantphos)RhCl,SDG-Related
Ab Initio Molecular Dynamics Reveals New Metal-Binding Sites in Atomically Dispersed Pt1/TiO2Catalysts,Not-Related
Adsorbate-assisted migration of the metal atom in atomically dispersed catalysts: An ab initio molecular dynamics study,Not-Related
Recent Advances toward Efficient Calculation of Higher Nuclear Derivatives in Quantum Chemistry,Not-Related
Toward Efficient Direct Dynamics Studies of Chemical Reactions: A Novel Matrix Completion Algorithm,Not-Related
A matrix completion algorithm for efficient calculation of quantum and variational effects in chemical reactions,Not-Related
A computational study of the mechanism of chloroalkane dechlorination with Rh(i) complexes,Not-Related
CO Oxidation with Atomically Dispersed Catalysts: Insights from the Energetic Span Model,Not-Related
Column-Based Matrix Approximation with Quasi-Polynomial Structure,Not-Related
Matrix Approximation with Side Information: When Column Sampling Is Enough,Not-Related
Site-Sensitivity of CO Oxidation Kinetics Catalyzed by Atomically Dispersed Pt1/TiO2,Not-Related
A configuration sampling study of reaction intermediates constituting catalytic cycles for CO oxidation with Pt1/TiO2,Not-Related
Quantum effects in CH activation with [Cu2O2]2+ complexes,Not-Related
Depth-dependent soil organic carbon dynamics of croplands across the Chengdu Plain of China from the 1980s to the 2010s,Sustainability-Focused
China’s improving inland surface water quality since 2003,Sustainability-Focused
Rapid greening response of China’s 2020 spring vegetation to COVID-19 restrictions: Implications for climate change,Sustainability-Focused
Divergent responses of cropland soil organic carbon to warming across the Sichuan Basin of China,Sustainability-Focused
Geospatial data in pediatric asthma in the United States: a scoping review protocol,Sustainability-Focused
Improving surface water quality of the Yellow River Basin due to anthropogenic changes,Sustainability-Focused
Factors affecting cadmium accumulation in the soil profiles in an urban agricultural area,Sustainability-Focused
The driving factors and buffering mechanism regulating cropland soil acidification across the Sichuan Basin of China,Sustainability-Focused
A zero-inflated spatiotemporal analysis for snowpack variations and influence of environmental factors in the Northern Hemisphere,Sustainability-Focused
Geospatial techniques for monitoring and mitigating climate change and its effects on human health,Sustainability-Focused
"Promoting self-determination, minimizing green gentrification, and maximizing community benefits in urban forestry expansion: A systematic review",Sustainability-Focused
Artificial intelligence and visual analytics in geographical space and cyberspace: Research opportunities and challenges,Sustainability-Focused
Temperature effects on cropland soil particulate and mineral-associated organic carbon are governed by agricultural land-use types,Sustainability-Focused
Incorporating Spatial Autocorrelation into GPP Estimation Using Eigenvector Spatial Filtering,Sustainability-Focused
"Incorporating of spatial effects in forest canopy height mapping using airborne, spaceborne lidar and spatial continuous remote sensing data",Sustainability-Focused
Area-Based Geocoding: An Approach to Exposure Assessment Incorporating Positional Uncertainty,SDG-Related
Self-adaptive bandwidth eigenvector spatial filtering model for estimating PM2.5 concentrations in the Yangtze River Delta region of China,Sustainability-Focused
Effects of programs and interventions related to the social environment on childhood and adolescent obesity: A systematic search for and scoping review of natural experiments,SDG-Related
Spatially explicit changes in forest biomass carbon of China over the past 4 decades: Coupling long-term inventory and remote sensing data,SDG-Related
Dynamics of the COVID-19 basic reproduction numbers in different countries,SDG-Related
Alcohol use trajectories among U.S. adults during the first 42 weeks of the COVID-19 pandemic,SDG-Related
Modeling the Health Benefits of Superblocks across the City of Los Angeles,SDG-Related
An Enhanced Residual Feature Fusion Network Integrated with a Terrain Weight Module for Digital Elevation Model Super-Resolution,SDG-Related
Measuring Geographic Access to Transgender Hormone Therapy in Texas: A Three-step Floating Catchment Area Analysis,SDG-Related
A review of place-related contextual factors in syndemics research,SDG-Related
PM2.5 estimation and its relationship with NO2 and SO2 in China from 2016 to 2020,Sustainability-Focused
A fundamental theorem for eco-environmental surface modelling and its applications,Not-Related
GIScience research at the 2020 Esri User Conference,Not-Related
An eigenvector spatial filtering based spatially varying coefficient model for PM2.5 concentration estimation: A case study in Yangtze River Delta region of China,Sustainability-Focused
An enhanced double‐filter deep residual neural network for generating super resolution dems,Not-Related
GIScience research at the 2021 Esri User Conference,Not-Related
A new approach for calculating the slope length factor in the Revised Universal Soil Loss Equation,Not-Related
A Five-Star Guide for Achieving Replicability and Reproducibility When Working with GIS Software and Algorithms,Not-Related
GIScience research at the 2022 Esri User Conference,Not-Related
Quantum machine learning of eco-environmental surfaces,Not-Related
Recent Advances and Challenges in Geomorphometry,Not-Related
A multi-terrain feature-based deep convolutional neural network for constructing super-resolution DEMs,Not-Related
A Multifactor Eigenvector Spatial Filtering-Based Method for Resolution-Enhanced Snow Water Equivalent Estimation in the Western United States,Not-Related
Quantitative analysis of spatiotemporal coverage and uncertainty decomposition in OCO-2/3 XCO2 across China,Not-Related
An improved geographic pattern based residual neural network model for estimating PM2.5 concentrations,Sustainability-Focused
Tuning grain boundary cation segregation with oxygen deficiency and atomic structure in a perovskite compositionally complex oxide thin film,SDG-Related
"Examining the joint effects of heatwaves, air pollution, and green space on the risk of preterm birth in California",Sustainability-Focused
Associations between green space and preterm birth: Windows of susceptibility and interaction with air pollution,Sustainability-Focused
Ozone and Particulate Matter Exposure and Alzheimer's Disease: A Review of Human and Animal Studies,Sustainability-Focused
Ozone and particulate matter exposure and Alzheimer's disease: A review of human and animal studies,Sustainability-Focused
Evidence of susceptibility to autism risks associated with early life ambient air pollution: A systematic review,Sustainability-Focused
Prenatal Exposure to Air Pollution and Autism Spectrum Disorder: Sensitive Windows of Exposure and Sex Differences,Sustainability-Focused
Exposure to air pollutant mixture and gestational diabetes mellitus in Southern California: Results from electronic health record data of a large pregnancy cohort,Sustainability-Focused
Association of Visual Impairment with Risk of Incident Dementia in a Women's Health Initiative Population,SDG-Related
Associations of hearing loss and menopausal hormone therapy with change in global cognition and incident cognitive impairment among postmenopausal women,SDG-Related
Metabolomic profiles associated with all-cause mortality in the Women's Health Initiative,SDG-Related
Association of Global Cognitive Function With Psychological Distress and Adherence to Public Health Recommendations During the Coronavirus Disease 2019 Pandemic: The Women's Health Initiative,SDG-Related
"Associations Between Changes in Loneliness and Social Connections, and Mental Health During the COVID-19 Pandemic: The Women's Health Initiative",SDG-Related
Rest-activity rhythms and cognitive impairment and dementia in older women: Results from the Women's Health Initiative,SDG-Related
Sleep and affective disorders in relation to Parkinson's disease risk among older women from the Women's Health Initiative,SDG-Related
Psychotropic medication use and Parkinson's disease risk amongst older women,SDG-Related
Association of Epigenetic Age Acceleration with Incident Mild Cognitive Impairment and Dementia among Older Women,SDG-Related
Association of sleep disturbance with Parkinson disease: Evidence from the Women's Health Initiative,SDG-Related
"The relationship between optimism, MCI, and dementia among postmenopausal women",SDG-Related
Association between blood pressure levels and cognitive impairment in older women: a prospective analysis of the Women's Health Initiative Memory Study,SDG-Related
Information fraction estimation based on the number of events within the standard treatment regimen,SDG-Related
Challenges in Using Insurance Claims Data to Identify Palliative Care Patients for a Research Trial,SDG-Related
Factors Associated With Serum Estradiol Levels Among Postmenopausal Women Using Hormone Therapy,SDG-Related
Effects of Estradiol Dose and Serum Estradiol Levels on Metabolic Measures in Early and Late Postmenopausal Women in the REPLENISH Trial,SDG-Related
Serum metabolomic response to low- And high-dose vitamin E supplementation in two randomized controlled trials,SDG-Related
Association of oral estradiol dose/levels with coagulation measures in early/late postmenopausal women,SDG-Related
Subclinical cardiovascular disease in HIV controller and long-term nonprogressor populations,SDG-Related
Defining the Breakpoint Duration of Staphylococcus aureus Bacteremia Predictive of Poor Outcomes,SDG-Related
"Safety, tolerability, and pharmacokinetics of allopregnanolone as a regenerative therapeutic for Alzheimer’s disease: A single and multiple ascending dose phase 1b/2a clinical trial",SDG-Related
"Effect of APOE Genotype on Plasma Docosahexaenoic Acid (DHA), Eicosapentaenoic Acid, Arachidonic Acid, and Hippocampal Volume in the Alzheimer's Disease Cooperative Study-Sponsored DHA Clinical Trial",SDG-Related
Retrospective analysis of phytoSERM for management of menopause-associated vasomotor symptoms and cognitive decline: A pilot study on pharmacogenomic effects of mitochondrial haplogroup and APOE genotype on therapeutic efficacy,SDG-Related
Cytokine measurements add value to clinical variables in predicting outcomes for Staphylococcus aureus bacteremia,SDG-Related
Thermal Conductance Through the Skull Base From Endoscopic Surgery Cauterization Instruments: Cadaver and Goat Model,SDG-Related
Gut microbiome in people living with HIV is associated with impaired thiamine and folate syntheses,SDG-Related
Regional relationships between CSF VEGF levels and Alzheimer's disease brain biomarkers and cognition,SDG-Related
Equivalent outcomes with minimally invasive and sternotomy mitral valve repair for degenerative mitral valve disease,SDG-Related
Patient satisfaction and trust in telemedicine during the COVID-19 pandemic: Retrospective observational study,SDG-Related
Acute respiratory infections in hospitalised infants with congenital heart disease,SDG-Related
Classical monocyte transcriptomes reveal significant anti-inflammatory statin effect in women with chronic HIV,SDG-Related
Volumetric distribution of perivascular space in relation to mild cognitive impairment,SDG-Related
Incidence of radiation induced sarcoma attributable to radiotherapy in adults: A retrospective cohort study in the SEER cancer registries across 17 primary tumor sites,SDG-Related
Determinants of attained estradiol levels in response to oral estradiol plus progesterone therapy,SDG-Related
Combined protein and transcript single-cell RNA sequencing in human peripheral blood mononuclear cells,SDG-Related
Effect of the ABCA1 agonist CS-6253 on amyloid-β and lipoprotein metabolism in cynomolgus monkeys,SDG-Related
Subclinical carotid artery atherosclerosis and cognitive function in older adults,SDG-Related
Effect of menopausal hormone therapy on methylation levels in early and late postmenopausal women,SDG-Related
Concentrations of endogenous sex steroid hormones and SHBG in healthy postmenopausal women,SDG-Related
Effect of menopausal hormone therapy on arterial wall echomorphology: Results from the Early versus Late Intervention Trial with Estradiol (ELITE),SDG-Related
Telemedicine in Otolaryngology During COVID-19: Patient and Physician Satisfaction,SDG-Related
Development of shoulder pain with job-related repetitive load: mechanisms of tendon pathology and anxiety,SDG-Related
Higher baseline levels of CSF inflammation increase risk of incident mild cognitive impairment and Alzheimer's disease dementia,SDG-Related
Long-term outcomes with the pulmonary autograft inclusion technique in adults with bicuspid aortic valves undergoing the Ross procedure,SDG-Related
Comparison of Cardiovascular Disease Risk Factors Between 2 Subclinical Atherosclerosis Measures in Healthy Postmenopausal Women: Carotid Artery Wall Thickness and Echogenicity,SDG-Related
"Improving ABCDEF Bundle Compliance and Clinical Outcomes in the ICU: Randomized Control Trial to Assess the Impact of Performance Measurement, Feedback, and Data Literacy Training",SDG-Related
Natural history of ankle function during gait in youth with Charcot-Marie-Tooth disease types 1 and 2,SDG-Related
Malignancy Risk of Thyroid Nodules That Are Not Classifiable by the American Thyroid Association Ultrasound Risk Stratification System: A Systematic Review and Meta-Analysis,SDG-Related
HIV infection and cardiovascular disease have both shared and distinct monocyte gene expression features: Women’s Interagency HIV study,SDG-Related
"NICUs in the US: levels of acuity, number of beds, and relationships to population factors",SDG-Related
Baseline Findings of PreventE4: A Double-Blind Placebo Controlled Clinical Trial Testing High Dose DHA in APOE4 Carriers before the Onset of Dementia,SDG-Related
Sonographic Reference Values for Median Nerve Cross-sectional Area: A Meta-analysis of Data From Healthy Individuals,SDG-Related
Protective effects of sleep duration and physical activity on cognitive performance are influenced by β-amyloid and brain volume but not tau burden among cognitively unimpaired older adults,SDG-Related
"National Trends in Alcohol Use, Metabolic Syndrome, and Liver Disease From 1999 to 2018",SDG-Related
The association of hysterectomy with or without ovarian conservation with subclinical atherosclerosis progression in healthy postmenopausal women,SDG-Related
Information fraction estimation: Strategies for a phase 3 non-inferiority maximum duration design with time to event outcome,SDG-Related
White matter hyperintensity volume modifies the association between CSF vascular inflammatory biomarkers and regional FDG-PET along the Alzheimer's disease continuum,SDG-Related
Cerebrovascular reactivity in Alzheimer's disease signature regions is associated with mild cognitive impairment in adults with hypertension,SDG-Related
Antibiotic prescribing for acute respiratory infections during the coronavirus disease 2019 (COVID-19) pandemic: Patterns in a nationwide telehealth service provider,SDG-Related
Association of HIV and HCV Infection with Carotid Artery Plaque Echomorphology in the MACS/WIHS Combined Cohort Study,SDG-Related
National Quality Indicators in Pediatric Sickle Cell Anemia,SDG-Related
Factors associated with tracheostomy-associated infection treatment: A multicenter observational study,SDG-Related
Brain predicted age in chronic pelvic pain: a study by the Multidisciplinary Approach to the Study of Chronic Pelvic Pain Research Network,SDG-Related
Neuroinflammation modifies the relationship between stress and perivascular spaces in an elderly population with different levels of cognitive impairment,SDG-Related
Speech-in-noise perception in musicians and non-musicians: A multi-level meta-analysis,Not-Related
Bayesian Response Adaptive Randomization for Randomized Clinical Trials With Continuous Outcomes: The Role of Covariate Adjustment,Not-Related
Syngas from coal,Sustainability-Focused
Syngas from food waste,Sustainability-Focused
Time-resolved operando analysis of the pyrolysis of a PECVD-deposited siloxane polymer using a combined DRIFTS-MS system,SDG-Related
Dysregulated metabolic pathways associated with air pollution exposure and the risk of autism: Evidence from epidemiological studies,Sustainability-Focused
Ageing and physical function in East African foragers and pastoralists: Function in foragers and pastoralists,SDG-Related
Beyond the here and now: Hunter-gatherer socio-spatial complexity and the evolution of language,Not-Related
Youth engaged participatory air monitoring: A ‘day in the life’ in urban environmental justice communities,Sustainability-Focused
"Waste CO2 capture and utilization for methanol production via a novel membrane contactor reactor process: Techno-economic analysis (TEA), and comparison with other existing and emerging technologies",Sustainability-Focused
Synthesis of novel and tunable Micro-Mesoporous carbon nitrides for Ultra-High CO2 and H2S capture,SDG-Related
"Advanced Ceramic Membranes/Modules for Ultra Efficient Hydrogen (H2) Production/Carbon Dioxide (CO2) Capture for Coal-Based Polygeneration Plants: Fabrication, Testing and CFD Modeling",SDG-Related
Simultaneous enhancement of CO2 adsorption capacity and kinetics on a novel micro-mesoporous MIL-101(Cr)-based composite: Experimental and DFT study,SDG-Related
Toxicity of urban air pollution particulate matter in developing and adult mouse brain: Comparison of total and filter-eluted nanoparticles,Sustainability-Focused
A Comparison of Environmental Impacts Between Reusable and Disposable Flexible Laryngoscopes,Sustainability-Focused
Development and validation of the gene expression predictor of high-grade serous ovarian carcinoma molecular SubTYPE (PrOTYPE),SDG-Related
Prognostic gene expression signature for high-grade serous ovarian cancer,SDG-Related
Urban street network design and transport-related greenhouse gas emissions around the world,Sustainability-Focused
Analyzing traffic impacts of planned major events,SDG-Related
Graphene membranes with pyridinic nitrogen at pore edges for high-performance CO2 capture,Sustainability-Focused
Unit-cell-thick zeolitic imidazolate framework films for membrane application,Not-Related
Scalable weaving of resilient membranes with on-demand superwettability for high-performance nanoemulsion separations,Not-Related
In-situ transfer vat photopolymerization for transparent microfluidic device fabrication,SDG-Related
"Exceptionally low likelihood of Alzheimer’s dementia in APOE2 homozygotes from a 5,000-person neuropathological study",SDG-Related
"Emotional detachment, gait ataxia, and cerebellar dysconnectivity associated with compound heterozygous mutations in the SPG7 gene",SDG-Related
Urine dicarboxylic acids change in presymptomatic Alzheimer's disease and reflect loss of energy capacity and hippocampal volume,SDG-Related
Cerebral Amyloid Angiopathy-related Inflammation Presenting with a Cystic Lesion in Young-onset Alzheimer Disease,SDG-Related
Assessment of carotid stiffness by measuring carotid pulse wave velocity using a single-slice oblique-sagittal phase-contrast MRI,SDG-Related
"Past, present and future role of retinal imaging in neurodegenerative disease",SDG-Related
Cerebroarterial pulsatility and resistivity indices are associated with cognitive impairment and white matter hyperintensity in elderly subjects: A phase-contrast MRI study,SDG-Related
White matter degradation near cerebral microbleeds is associated with cognitive change after mild traumatic brain injury,SDG-Related
Manifestations of Alzheimer’s disease genetic risk in the blood are evident in a multiomic analysis in healthy adults aged 18 to 90,SDG-Related
Calcium-dependent cytosolic phospholipase A2 activation is implicated in neuroinflammation and oxidative stress associated with ApoE4,SDG-Related
Parenchymal border macrophages regulate the flow dynamics of the cerebrospinal fluid,SDG-Related
Circular RNA detection identifies circPSEN1 alterations in brain specific to autosomal dominant Alzheimer's disease,SDG-Related
Locus coeruleus integrity is related to tau burden and memory loss in autosomal-dominant Alzheimer's disease,SDG-Related
Brain energy failure in dementia syndromes: Opportunities and challenges for glucagon-like peptide-1 receptor agonists,SDG-Related
"Older age, male sex, and cerebral microbleeds predict white matter loss after traumatic brain injury",SDG-Related
Cerebral hemorrhages in traumatic brain injury,SDG-Related
Longitudinal Accumulation of Cerebral Microhemorrhages in Dominantly Inherited Alzheimer Disease,SDG-Related
Accelerated functional brain aging in pre-clinical familial Alzheimer’s disease,SDG-Related
Comparison of amyloid burden in individuals with Down syndrome versus autosomal dominant Alzheimer's disease: a cross-sectional study,SDG-Related
Microstructural mapping of dentate gyrus pathology in Alzheimer's disease: A 16.4 Tesla MRI study,SDG-Related
Metabolomic and lipidomic signatures in autosomal dominant and late-onset Alzheimer's disease brains,SDG-Related
"Proteomics of brain, CSF, and plasma identifies molecular signatures for distinguishing sporadic and genetic Alzheimer’s disease",SDG-Related
Association Between Self- and Proxy-Reported Depression and Quality of Life in Mild-Moderate Alzheimer's Disease,SDG-Related
Etiology of White Matter Hyperintensities in Autosomal Dominant and Sporadic Alzheimer Disease,SDG-Related
Assessment of arterial pulsatility of cerebral perforating arteries using 7T high-resolution dual-VENC phase-contrast MRI,SDG-Related
X‐chromosome-wide association study for Alzheimer’s disease,SDG-Related
Modeling Well-to-Wake Life-Cycle CO2 Emissions for Electrified Aircraft,Sustainability-Focused
A systematic review of evidence for maternal preconception exposure to outdoor air pollution on Children's health,Sustainability-Focused
Ten questions concerning the impact of environmental stress on office workers,Sustainability-Focused
A portable sensor for the determination of tree canopy air quality,Sustainability-Focused
Advancing green space equity via policy change: A scoping review and research agenda,Sustainability-Focused
Cooperative transport in sea star locomotion,Sustainability-Inclusive
Collective phase transitions in confined fish schools,Sustainability-Inclusive
