pub,new_classification
Breast Density Legislation Impact on Breast Cancer Screening and Risk Assessment,Sustainability-Inclusive
"Triaging subjects with palpable breast masses for biopsy, follow-up or treatment using AI applied to breast ultrasound in a low-resource setting - A feasibility study",Sustainability-Inclusive
CEM Radiomics for Distinguishing Lesion from Background Parenchymal Enhancement in Patients with Invasive Breast Cancer,Sustainability-Inclusive
Toward AI-supported US Triage of Women with Palpable Breast Lumps in a Low-Resource Setting,Sustainability-Inclusive
Comparison of Mammography and Mammography with Supplemental Whole-Breast US Tomography for Cancer Detection in Patients with Dense Breasts,Sustainability-Inclusive
Predicting breast cancer response to neoadjuvant treatment using multi-feature MRI: results from the I-SPY 2 TRIAL,SDG-Related
Imaging of Benign and Malignant Breast Lesions Using Contrast-Enhanced Ultrasound: A Pictorial Essay,SDG-Related
Is palpable DCIS more aggressive than screen-detected DCIS?,SDG-Related
Use of ultrasound and MRI to stage the axilla for breast cancer before and after neoadjuvant chemotherapy prior to targeted sentinel lymphadenectomy,SDG-Related
Puberty and NeuroDevelopment in adolescents (PANDA): a study protocol,Sustainability-Inclusive
Rhodopsin-mediated nutrient uptake by cultivated photoheterotrophic Verrucomicrobiota,Sustainability-Inclusive
Flexible genomic island conservation across freshwater and marine Methylophilaceae,Sustainability-Inclusive
Three-dimensional genome rewiring in loci with human accelerated regions,Sustainability-Inclusive
Evolutionary constraint and innovation across hundreds of placental mammals,Sustainability-Inclusive
"Comparative genomics of Balto, a famous historic dog, captures lost diversity of 1920s sled dogs",Sustainability-Inclusive
A noncoding regulatory variant in IKZF1 increases acute lymphoblastic leukemia risk in Hispanic/Latino children,Sustainability-Inclusive
An integrated approach to identify environmental modulators of genetic risk factors for complex traits,SDG-Related
COVID-19 tissue atlases reveal SARS-CoV-2 pathology and cellular targets,SDG-Related
Combining SNP-to-gene linking strategies to identify disease genes and assess disease omnigenicity,SDG-Related
Leveraging fine-mapping and multipopulation training data to improve cross-population polygenic risk scores,SDG-Related
Partitioning gene-mediated disease heritability without eQTLs,SDG-Related
The lingering effects of Neanderthal introgression on human complex traits,SDG-Related
Insights into mammalian TE diversity through the curation of 248 genome assemblies,SDG-Related
Leveraging base-pair mammalian constraint to understand genetic variation and human disease,SDG-Related
A scalable approach to characterize pleiotropy across thousands of human diseases and complex traits using GWAS summary statistics,SDG-Related
Genome-wide classification of epigenetic activity reveals regions of enriched heritability in immune-related traits,SDG-Related
RPA3-UMAD1 rs12702634 and rheumatoid arthritis–associated interstitial lung disease in European ancestry,SDG-Related
Deciphering the impact of genomic variation on function,SDG-Related
Genes with differential expression across ancestries are enriched in ancestry-specific disease effects likely due to gene-by-environment interactions,SDG-Related
Rhinovirus infection of airway epithelial cells uncovers the non-ciliated subset as a likely driver of genetic risk to childhood-onset asthma,SDG-Related
Partitioning gene-level contributions to complex-trait heritability by allele frequency identifies disease-relevant genes,Not-Related
Relating enhancer genetic variation across mammals to complex phenotypes using machine learning,Not-Related
Integrating gene annotation with orthology inference at scale,Not-Related
The contribution of historical processes to contemporary extinction risk in placental mammals,Not-Related
The functional and evolutionary impacts of human-specific deletions in conserved elements,Not-Related
Mammalian evolution of human cis-regulatory elements and transcription factor binding sites,Not-Related
Trade-Offs between Competitive Ability and Resistance to Top-Down Control in Marine Microbes,Sustainability-Inclusive
"Comprehensive single-PCR 16S and 18S rRNA community analysis validated with mock communities, and estimation of sequencing bias against 18S",SDG-Related
"Effects of phytoplankton, viral communities, and warming on free-living and particle-associated marine prokaryotic community structure",SDG-Related
Microbial community composition predicts bacterial production across ocean ecosystems,SDG-Related
Activation of AMP-activated protein kinase during sepsis/inflammation improves survival by preserving cellular metabolic fitness,SDG-Related
Generation of patterned kidney organoids that recapitulate the adult kidney collecting duct system from expandable ureteric bud progenitors,SDG-Related
Beneficial effects of bempedoic acid treatment in polycystic kidney disease cells and mice,SDG-Related
Metformin improves relevant disease parameters in an autosomal dominant polycystic kidney disease mouse model,SDG-Related
"The study of intercalated cells using ex vivo techniques: primary cell culture, cell lines, kidney slices, and organoids",SDG-Related
Investigation of Basolateral Targeting Micelles for Drug Delivery Applications in Polycystic Kidney Disease,SDG-Related
Long-term expandable mouse and human-induced nephron progenitor cells enable kidney organoid maturation and modeling of plasticity and disease,SDG-Related
Population and comparative genetics of thermotolerance divergence between yeast species,Sustainability-Inclusive
Widespread sex dimorphism in aging and age-related diseases,Sustainability-Inclusive
"Transposable elements, circular RNAs and mitochondrial transcription in age-related genomic regulation",SDG-Related
Remodeling of the H3 nucleosomal landscape during mouse aging,SDG-Related
Multi-omic profiling of primary mouse neutrophils predicts a pattern of sex- and age-related functional regulation,SDG-Related
Protocol for isolation of adult mouse ear pinnae-derived primary fibroblasts,SDG-Related
An eQTL-based approach reveals candidate regulators of LINE-1 RNA levels in lymphoblastoid cells,SDG-Related
Stream-Based Active Learning with Multiple Kernels,Not-Related
Distributed Online Learning With Multiple Kernels,Not-Related
Communication-Efficient Randomized Algorithm for Multi-Kernel Online Federated Learning,Not-Related
Active Learning With Multiple Kernels,Not-Related
"Source Modeling of the 2009 Fengpin–Hualien Earthquake Sequence, Taiwan, Inferred From Static Strain Measurements",Sustainability-Inclusive
Interplay Between Seismic and Aseismic Deformation on the Central Range Fault During the 2013 Mw 6.3 Ruisui Earthquake (Taiwan),SDG-Related
Informative Modes of Seismicity in Nearest-Neighbor Earthquake Proximities,SDG-Related
Statistics of random walks in geologically relevant conductance fields,Sustainability-Inclusive
The San Andreas fault paleoseismic record at Elizabeth lake: Why are there fewer surface-rupturing earthquakes on the mojave section?,Sustainability-Inclusive
"Surface displacement distributions for the july 2019 ridgecrest, california, earthquake ruptures",SDG-Related
Relative Structural Complexity of Plate-Boundary Fault Systems Controls Incremental Slip-Rate Behavior of Major Strike-Slip Faults,SDG-Related
"Latest Pleistocene–Holocene Incremental Slip Rates of the Wairau Fault: Implications for Long-Distance and Long-Term Coordination of Faulting Between North and South Island, New Zealand",SDG-Related
Islands of chaos in a sea of periodic earthquakes,SDG-Related
"One tune, many tempos: Faults trade off slip in time and space to accommodate relative plate motions",SDG-Related
"Holocene to latest Pleistocene incremental slip rates from the east-central Hope fault (Conway segment) at Hossack Station, Marlborough fault system, South Island, New Zealand: Towards a dated path of earthquake slip along a plate boundary fault",Not-Related
Bookshelf Kinematics and the Effect of Dilatation on Fault Zone Inelastic Deformation: Examples From Optical Image Correlation Measurements of the 2019 Ridgecrest Earthquake Sequence,Not-Related
A method to evaluate the degree of bleaching of IRSL signals in feldspar: The 3ET method,Not-Related
Spatial distribution information extraction of winter wheat in Henan Province based on multi-source sentinel remote sensing data,Sustainability-Inclusive
Extraction of Winter Wheat Planting Area Based on Fused Active and Passive Remote Sensing Images,SDG-Related
Long-Term Wind Energy Production from Shallow Water Offshore Platforms Destined for Removal,Sustainability-Inclusive
Devices: A location for feminist analytics and praxis,Sustainability-Inclusive
"Trusts at the financial frontier: the flickering forms of property, water, and governance",Sustainability-Focused
PUTTING THE COMMUNITY IN COMMUNITY SCIENCE LESSONS LEARNED FROM SEA GRANT KING TIDES PROJECTS,Sustainability-Focused
SPOOC (Sensor for Periodic Observation of Choline): An Integrated Lab-on-a-Spoon Platform for At-Home Quantification of Choline in Infant Formula,Sustainability-Inclusive
The Grand Challenges Scholars Program 12 Years Later: A New Vision,Sustainability-Focused
PERSPECTIVE: PREPARING LEADERS TO ENGINEER SUSTAINABILITY AND RESILIENCE ACROSS THE FOOD CHAIN THROUGH THE GRAND CHALLENGES SCHOLARS PROGRAM,Sustainability-Focused
iPodia: Collaborative Peer Learning Across Borders,Sustainability-Inclusive
The persistence of long facts: truth and consequence in Costa Rica’s aquifers; [La persistencia de los hechos largos: verdad y consecuencia en los acuíferos de Costa Rica],SDG-Related
Microbes as Communication &amp; Decision-Making Networked Communities,Not-Related
