 ,authorIDs,affiliations,fullnames,firstnames,lastnames,depts,divs,Number_of_IDs,COMBINE_TF,Div_Same_TF,OTHER ROW MATCHES,combine (duplicate the row if there are multiple combines),First Name_With_Middle,First Name,Last Name,"Full Name(Last, First Middle)",Notes
Noguera P.,57224837782###6601983733,"Noguera P., University of Southern California, Los Angeles, CA, United States;Noguera P.A., University of Southern California, Rossier School of Education, Los Angeles, United States###Noguera P., University of Southern California, Rossier School of Education, United States","Noguera, Pedro (57224837782)###Noguera, Pedro (6601983733)", Pedro### Pedro,Noguera###Noguera,###,Rossier School of Education###Rossier School of Education,2,TRUE,TRUE,,57224837782###6601983733,Pedro,Pedro,Noguera,"Noguera, Pedro",
Obremskey A.,56433444300###57225226049,"Obremskey A., Keck School of Medicine, University of Southern California, Los Angeles, CA, United States###Obremskey A., Keck School of Medicine of USC, Los Angeles, CA, United States","Obremskey, Alexandra (56433444300)###Obremskey, Allie (57225226049)", Alexandra### Allie,Obremskey###Obremskey,###,Keck Medicine of USC###Keck Medicine of USC,2,FALSE,TRUE,,,,,,,
Oh H.,55343236000###57225965364###57734572300###57848806800###57966299800,"Oh H., School of Social Work, University of Southern California, Los Angeles, CA, United States;Oh H., University of Southern California, Suzanne Dworak Peck School of Social Work, Los Angeles, CA, United States;Oh H., University of Southern California, Suzanne Dworak Peck School of Social Work, 1149 Hill St Suite 1422, Los Angeles, 90015, CA, United States;Oh H.Y., Suzanne Dworak Peck School of Social Work, University of Southern California, Los Angeles, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, Los Angeles, United States;Oh H., School of Social Work, University of Southern California, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, Los Angeles, 3551, CA, United States;Oh H., Suzanne Dworak-Peck School of Social Work, University of Southern California, Los Angeles, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, 1149 Hill Street, Suite #1422, Los Angeles, 90015, CA, United States;Oh H., School of Social Work, University of Southern California, Los Angeles, 90015, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, Los Angeles, CA, United States;Oh H., University of Southern California, Los Angeles, United States;Oh H., University of Southern California, Suzanne Dworak Peck School of Social Work, 1149 South Hill Street Suite 1422, Los Angeles, 90015, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, Los Angeles, 90007, CA, United States;Oh H.Y., Suzanne Dworak-Peck School of Social Work, University of Southern California, Los Angeles, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, 669 W 34th St, Los Angeles, 90089, CA, United States;Oh H., University of Southern California, Suzanne Dworak Peck School of Social Work, Los Angeles, United States;Oh H., University of Southern California, Suzanne Dworak Peck School of Social Work, 1149 South Hill Street suite 1422, Los Angeles, 90015, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, California, United States;Oh H., School of Social Work, University of Southern California, 1149 South Hill Street, Suite1422, Los Angeles, 90015, CA, United States;Oh H., Department of Psychiatry, University of Southern California, Los Angeles (Oh), Department of Public Health, Wayne State University, Detroit (Zhou), Milken Institute School of Public Health, George Washington University, D.C. (Banawa), WA;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, 1149 Hill St Suite 1422, Los Angeles, 90015, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, Los Angeles, 90015, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, 1149 Hill Street Suite #1422, Los Angeles, 90015, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, 1149 Hill Street, Los Angeles, 90015, CA, United States;Oh H., University of Southern California, Suzanne Dworak Peck School of Social Work, 1149 Hill St Suite #1422, Los Angeles, 90015, CA, United States;Oh H.Y., Suzanne Dworak Peck School of Social Work, University of Southern California;Oh H., Suzanne Dworak-Peck School of Social Work, University of Southern California, 1149 Hill St Suite #1422, Los Angeles, 90015, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, 1149 Hill St Suite #1422, Los Angeles, 90015, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, 1149 South Hill Street Suite 1422, Los Angeles, 90015, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, 1149 South Hill Street Suite 1422, Los Angeles, 90015, CA, United States;Oh H., University of Southern California, Suzanne Dworak Peck School of Social Work, 1149 South Hill Street, Los Angeles, 90015, CA, United States;Oh H., University of Southern California, Suzanne Dworak Peck School of Social Work, United States;Oh H., Suzanne Dworak-Peck School of Social Work, University of Southern California, 1149 South Hill Street suite 1422, Los Angeles, 90015, CA, United States;Oh H., Suzanne Dworak-Peck School of Social Work, University of Southern California, 669 West 34th Street, Los Angeles, 90089-0411, CA, United States;Oh H., Suzanne Dworak-Peck School of Social Work, University of Southern California, Los Angeles, 90015, CA, United States;Oh H., Suzanne Dworak-Peck School of Social Work, University of Southern California, United States;Oh H., University of Southern California, Suzanne Dworak Peck School of Social Work, California, United States;Oh H.Y., Suzanne Dworak Peck School of Social Work, University of Southern California, Los Angeles, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, Irvine, CA, United States;Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, CA, United States###Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, Los Angeles, CA, United States;Oh H., School of Social Work, University of Southern California, 90015, CA, United States;Oh H., University of Southern California, Los Angeles, CA, United States###Oh H., Suzanne Dworak-Peck School of Social Work, University of Southern California, United States###Oh H., Suzanne Dworak Peck School of Social Work, University of Southern California, Los Angeles, 90007, CA, United States###Oh H., School of Social Work, University of Southern California, Los Angeles, 90089, CA, United States","Oh Hans Y.###Oh, Hans (57225965364)###Oh, Hans (57734572300)###Oh, Hans (57848806800)###Oh, H. (57966299800)",Hans### Hans### Hans### Hans### H.,Oh###Oh###Oh###Oh###Oh,Psychiatry and Behavioral Sciences############,Keck Medicine of USC;Suzanne Dworak-Peck School of Social Work###Suzanne Dworak-Peck School of Social Work###Suzanne Dworak-Peck School of Social Work###Suzanne Dworak-Peck School of Social Work###Suzanne Dworak-Peck School of Social Work,5,FALSE,FALSE,,55343236000###57225965364###57734572300###57848806800###57966299800,Hans Y.,Hans,Oh,"Oh, Hans",
Ouyang Y.,57217234483###57838161000,"Ouyang Y., Leonard David School of Gerontology, University of Southern California, Los Angeles, United States###Ouyang Y., Department of Orthopaedic Surgery, Keck School of Medicine, University of Southern California (USC), Los Angeles, CA, United States","Ouyang, Yiting (57217234483)###Ouyang, Yuxin (57838161000)", Yiting### Yuxin,Ouyang###Ouyang,###Orthopaedic Surgery,Leonard Davis School of Gerontology###Keck Medicine of USC,2,FALSE,FALSE,,,,,,,
Pak P.,57218792177###57946986700,"Pak P., Department of Pathology, Keck School of Medicine, University of Southern California, Los Angeles, 90033, CA, United States;Pak P., Keck School of Medicine of the University of Southern California, Department of Pathology, Los Angeles, 90033, CA, United States;Pak P., Department of Pathology, Keck School of Medicine of the University of Southern California, Los Angeles, 90033, CA, United States###Pak P., Keck Medical Center, University of Southern California, Los Angeles, 90033, CA, United States","Pak, Pil (57218792177)###Pak, Pil (57946986700)", Pil### Pil,Pak###Pak,Pathology###,Keck Medicine of USC###,2,TRUE,FALSE,,57218792177###57946986700,Pil,Pil,Pak,"Pak, Pil",
Pak S.,57211170299###57454090300,"Pak S., Keck School of Medicine of University of Southern California, 1975 Zonal Ave, Los Angeles, 90033, CA, United States###Pak S., Department of Neurological Surgery, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States","Pak, Sophia (57211170299)###Pak, Sarah (57454090300)", Sophia### Sarah,Pak###Pak,###Neurological Surgery,Keck Medicine of USC###Keck Medicine of USC,2,FALSE,TRUE,,,,,,,
Palmer S.,57220896388###7402329300,"Palmer S., Department of Radiology, Keck Medical Center of USC, Los Angeles, CA;Palmer S., Department of Radiology, Keck Medical Center of USC, Los Angeles, CA, United States;Palmer S., Department Of Radiology, Keck Medical Center Of Usc, Los Angeles, CA, United States###Palmer S., Departments of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Palmer S.L., Department of Radiology, University of Southern California, Los Angeles, CA, United States;Palmer S.L., Department of Radiology, Keck Hospital, University of Southern California, 1500 San Pablo St, Los Angeles, 90033, CA, United States;Palmer S., Department of Radiology, Keck School of Medicine, The University of Southern California, Los Angeles, CA, United States;Palmer S., Department of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Palmer S.L., Department of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, CA., United States;Palmer S.L., Departments of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, CA, Mexico;Palmer S.L., Department Colorectal Surgery, University of Cincinnati, Cincinnati, OH, United States, Department of Radiology, Keck Medical Center of USC, Los Angeles, CA, United States;Palmer S.L., Department of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Palmer S., Department of Radiology, University of Southern California, Los Angeles, 90033, CA, United States;Palmer S.L., Keck School of Medicine at University of Southern California, 1500 San Pablo Street, Los Angeles, 90033, CA, United States;Palmer S., SAR DFP, Department of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, United States;Palmer S.L., Body Imaging, University of Southern California, Los Angeles, United States;Palmer S., University of Southern California, Los Angeles, United States;Palmer S.L., Clinical Radiology and Medicine, Division Chief, Body Imaging, Keck Medical Center of USC University of Southern California, Los Angeles, United States;Palmer S.L., Keck School of Medicine, University of Southern California, Los Angeles, United States;Palmer S.L., Department of Radiology, Keck Medical Center of USC, Los Angeles, CA, United States;Palmer S.L., Departments of Radiology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States","Palmer, Susan (57220896388)###Palmer, Suzanne (7402329300)", Susan### Suzanne,Palmer###Palmer,Radiology###Radiology,Keck Medicine of USC###Keck Medicine of USC,2,FALSE,TRUE,,,,,,,
Pan H.,36622972300###57931653400,"Pan H., Department of Pharmacological Sciences, Icahn School of Medicine at Mount Sinai, One Gustave L. Levy Place, Box 1603, New York, 10029, NY, United States, University of Southern California Medical Center, Los Angeles, CA, United States###Pan H., Department of Pathology and Laboratory Medicine, University of Southern California/LAC-USC Medical Center, Los Angeles, California","Pan, Hui (36622972300)###Pan, Hui (57931653400)", Hui### Hui,Pan###Pan,###Pathology,###Keck Medicine of USC,2,TRUE,FALSE,,36622972300###57931653400,Hui,Hui,Pan,"Pan, Hui",
Pan J.,57219846109###57325967300,"Pan J., Keck School of Medicine, University of Southern California, Los Angeles, 90033, CA, United States###Pan J., Keck Medical Center of University of Southern California, 1510 San Pablo Street, HCC I, Suite 514, Los Angeles, 90033, CA, United States","Pan, Jennifer (57219846109)###Pan, Jennifer (57325967300)", Jennifer### Jennifer,Pan###Pan,###,Keck Medicine of USC###,2,TRUE,FALSE,,,Jennifer,Jennifer,Pan,"Pan, Jennifer",
Pan Y.,57222868100###57223852294,"Pan Y., Department of Neurology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States###Pan Y., Viterbi School of Engineering, University of Southern California, Los Angeles, 90007, CA, United States","Pan, Yuanzhong (57222868100)###Pan, Yifan (57223852294)", Yuanzhong### Yifan,Pan###Pan,Neurology###,Keck Medicine of USC###Viterbi School of Engineering,2,FALSE,FALSE,,,,,,,
Pan Z.,57203639486###57213164034,"Pan Z., University of Southern California, Department of Electrical Engineering, Los Angeles, 90089, CA, United States;Pan Z., Department of Electrical Engineering, University of Southern California, Los Angeles, 70504, CA, United States###Pan Z., Baidu Research (USA) University of Southern California Department of Computer Vision Technology (VIS), Baidu Incorporation, United States","Pan, Zhongqi (57203639486)###Pan, Zhihong (57213164034)", Zhongqi### Zhihong,Pan###Pan,Electrical and Computer Engineering###,Viterbi School of Engineering###,2,FALSE,FALSE,,,,,,,
Pang K.,57193201448###57218933685###57858455500,"Pang K., Univ. of Southern California, Department of Electrical Engineering, Los Angeles, 90089, CA, United States;Pang K., Department of Electrical Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Pang K., Dept. of Electrical Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Pang K., University of Southern California, Dept. of Electrical Engineering, Los Angeles, 90089, CA, United States;Pang K., Univ. of Southern California, Department of Electrical Engineering, Los Angeles, CL4 90089, United States;Pang K., Department of Electrical Engineering, Univ. of Southern California, Los Angeles, 90089, CA, United States;Pang K., Ming Hsieh Department of Electrical Engineering, University of Southern California, 3740 McClintock Ave., Los Angeles, 90089, CA, United States;Pang K., University of Southern California, Department of Electrical Engineering, Los Angeles, 90089, CA, United States;Pang K., Department of Electrical and Computer Engineering, University of Southern California, California, 90007, United States;Pang K., Ming Hsieh Department of Electrical Engineering, University of Southern California, 3740 McClintock Ave, Los Angeles, 90089, CA, United States;Song K.P.H., Dept. of Electrical Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Pang K., Department of Electrical and Computer Engineering, University of Southern California, 90007, CA, United States;Pang K., Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, 90089, California, United States;Pang K., Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, United States;Pang K., Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Pang K., University of Southern California, Depart. of Electrical Engineering, Los Angeles, 90089, CA, United States;Pang K., Department of Electrical Engineering, University of Southern California, Los Angeles, 90089, California, United States;Pang K., University of Southern California, Department of Electrical and Computer Engineering, Los Angeles, 90089, CA, United States;Pang K., University of Southern California, Department of Electrical Engineering, Los Angeles, CA, United States;Pang K., Dept. of Electrical and Computer Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Pang K., University of Southern California, Department of Electrical Engineering, Los Angeles, 90007, CA, United States;Pang K., Univ. of Southern California, Department of Electrical and Computer Engineering, Los Angeles, 90089, CA, United States;Pang K., Depart. of Electrical Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Pang K., University of Southern California, Los Angeles, 90089, CA, United States;Pang K., Department of Electrical Engineering, University of Southern California, Los Angeles, 90007, CA, United States;Pang K., Department of Electrical Engineering, University of Southern California, Los Angeles, CA, United States;Pang K., Department of Electrical and Computer Engineering, Univ. of Southern California, Los Angeles, 90089, CA, United States;Pang K., Department of Electrical & Computer Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Pang K., Ming Hsieh, Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, 90089, CA, United States###Pang K., Mork Family Department of Chemical Engineering and Materials Science, University of Southern California, 925 Bloom Walk, HED 216, Los Angeles, 90089, CA, United States###Pang K., Department of Electrical and Computer Engineering, University of Southern California, Los Angeles, CA, United States;Pang K., Dept. of Electrical Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Pang K., Department of Electrical Engineering, University of Southern California, Los Angeles, CA, United States","Pang Kai###Pang, Kenmond (57218933685)###Pang, Kai (57858455500)",Kai### Kenmond### Kai,Pang###Pang###Pang,Electrical and Computer Engineering###Chemical Engineering and Materials Science###Electrical and Computer Engineering,Viterbi School of Engineering###Viterbi School of Engineering###Viterbi School of Engineering,3,FALSE,TRUE,,57193201448###57858455500,Kai,Kai,Pang,"Pang, Kai",
Pang W.,57217025011###57224195006,"Pang W., Viterbi School of Engineering, University of Southern California, Los Angeles, 90089, CA, United States;Pang W., Department of Computer Science, University of Southern California, Los Angeles, 90089, CA, United States###Pang W., University of Southern California, United States","Pang, Weiwu (57217025011)###Pang, Weiwu (57224195006)", Weiwu### Weiwu,Pang###Pang,Computer Science###,Viterbi School of Engineering###,2,TRUE,FALSE,,57217025011###57224195006,Weiwu,Weiwu,Pang,"Pang, Weiwu",
Paolieri M.,23009895700###57914163300,"Paolieri M., University of Southern California, Department of Computer Science, United States;Paolieri M., University of Southern California, Los Angeles, CA, United States;Paolieri M., University of Southern California, Los Angeles, United States;Paolieri M., Department of Computer Science, University of Southern California, Los Angeles, CA, United States;Paolieri M., Department of Computer Science, University of Southern California, Los Angeles, United States;Paolieri M., University of Southern California, Department of Computer Science, Los Angeles, 90089, CA, United States;Paolieri M., Univ. of Southern California, United States;Paolieri M., Computer Science Dept., Univ. Of Southern California, United States;Paolieri M., University of Southern California, Department of Computer Science, 941 Bloom Walk, Los Angeles, United States###Paolieri M., Information Sciences Institute, University of Southern California, Arlington, 22203, VA, United States","Paolieri, Marco (23009895700)###Paolieri, Marco (57914163300)", Marco### Marco,Paolieri###Paolieri,Computer Science###Information Sciences Institute,Viterbi School of Engineering###Viterbi School of Engineering,2,TRUE,TRUE,,23009895700###57914163300,Marco,Marco,Paolieri,"Paolieri, Marco",
Papadopoulos P.,36608956200###57212022495,"Papadopoulos P., Signal Analysis and Interpretation Lab, University of Southern California, United States;Papadopoulos P., Signal Analysis and Interpretation Laboratory, University of Southern California, Los Angeles, United States###Papadopoulos P., The Research Institute of the McGill University Health Centre, Montreal, QC, Canada, Department of Regulatory and Quality Sciences, School of Pharmacy, University of Southern California, Los Angeles, CA, United States","Papadopoulos, Pavlos (36608956200)###Papadopoulos, Philippos (57212022495)", Pavlos### Philippos,Papadopoulos###Papadopoulos,Robotics and Autonomous Systems Center (RASC)###Regulatory and Quality Sciences,Viterbi School of Engineering###Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,2,FALSE,FALSE,,,,,,,
Park C.,57196220073###57204818832###57216197814###57220031075###57405440200,"Park C., Southern California Clinical and Translational Science Institute (SC-CTSI), Los Angeles, 90033, CA, United States, Department of Preventive Medicine, Keck School of Medicine of the University of Southern California, Los Angeles, 90033, CA, United States;Park C., Southern California Clinical and Translational Science Institute, University of Southern California, Los Angeles, CA, United States;Park C., University of Southern California, Keck School of Medicine, Department of Preventative Medicine, United States;Park C., Southern California Clinical and Translational Science, Institute University of Southern California, Los Angeles, United States;Park C., Southern California Clinical and Translational Science Institute (SC-CTSI), Los Angeles, 90033, CA, United States, Department of Preventative Medicine, Keck School of Medicine of the University of Southern California, Los Angeles, 90033, CA, United States###Park C., University of Southern California, Los Angeles, CA, United States;Park C., Department of Psychology, University of Southern California, Los Angeles, United States###Park C., Department of Computer Science, University of Southern California, Los Angeles, Los Angeles, 90089, CA, United States###Park C., Department of Otolaryngology–Head and Neck Surgery, Keck School of Medicine of the University of Southern California, Los Angeles, CA, United States;Park C., Department of Otolaryngology–Head and Neck Surgery, Keck School of Medicine, University of Southern California, Los Angeles, Caruso, CA, United States###Park C., University of Southern California, Usc Stevens Neuroimaging and Informatics Institute, Keck School of Medicine of Usc, Los Angeles, 90033, CA, United States;Park C., USC Stevens Neuroimaging and Informatics Institute, Keck School of Medicine of USC, University of Southern California, 2025 Zonal Ave., Los Angeles, 90033, CA, United States, School of Medicine, California University of Science and Medicine, Colton, 92324, CA, United States","Park, Caron (57196220073)###Park, Christina (57204818832)###Park, Chanshin (57216197814)###Park, Christine (57220031075)###Park, Claire (57405440200)", Caron### Christina### Chanshin### Christine### Claire,Park###Park###Park###Park###Park,Population and Public Health Sciences;Southern California Clinical and Translational Science Institute (SC CTSI)###Psychology###Computer Science###Otolaryngology###Mark and Mary Stevens Neuroimaging and Informatics Institute (INI),Keck Medicine of USC;Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences###Dornsife College of Letters Arts and Sciences###Viterbi School of Engineering###Keck Medicine of USC###Keck Medicine of USC,5,FALSE,FALSE,,,,,,,
Park D.,55552368400###55880369000,"Park D., Usc Institute of Urology and Catherine, Joseph Aresty Department of Urology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Park D., Department of Urology, Catherine and Joseph Aresty, USC Institute of Urology, Keck School of Medicine, USC/Norris Comprehensive Cancer Center, Los Angeles, CA, United States###Park D., Faculty of Department of Occupational Science and Occupational Therapy, University of Southern California, Los Angeles, United States","Park, Daniel (55552368400)###Park, Daniel (55880369000)", Daniel### Daniel,Park###Park,Norris Comprehensive Cancer Center;Urology###,Keck Medicine of USC###,2,TRUE,FALSE,,,Daniel,Daniel,Park,"Park, Daniel",
Park E.,36932951700###57116996400,"Park E., Department of Pediatrics, University of Southern California Keck School of Medicine, Children's Hospital Los Angeles, Los Angeles, CA, United States###Park E., Division of Plastic and Reconstructive Surgery, Department of Surgery, Norris Comprehensive Cancer Center, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States, Department of Biochemistry and Molecular Biology, Norris Comprehensive Cancer Center, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Park E., Department of Surgery, Keck School of Medicine of USC, USC, Los Angeles, CA, United States, Department of Biochemistry and Molecular Medicine, Norris Comprehensive Cancer Center, Keck School of Medicine of USC, USC, Los Angeles, CA, United States;Park E.K., Department of Surgery, Keck School of Medicine of USC, Los Angeles, CA, United States;Park E., Department of Surgery, Norris Comprehensive Cancer Center, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Park E., Department of Surgery, Keck School of Medicine, University of Southern California, Los Angeles, 90033, CA, United States","Park, Eugene (36932951700)###Park, Eunkyung (57116996400)", Eugene### Eunkyung,Park###Park,Children's Hospital Los Angeles;Pediatrics###Biochemistry and Molecular Medicine;Norris Comprehensive Cancer Center;Surgery,Keck Medicine of USC###Keck Medicine of USC,2,FALSE,TRUE,,,,,,,
Park J.,57195605503###57221967549,"Park J., University of Southern California, Ming Hsieh Department of Electrical and Computer Engineering, Los Angeles, United States###Park J., Edward R. Roybal Institute on Aging, Suzanne Dworak-Peck School of Social Work, University of Southern California, Los Angeles, CA, United States;Park J., Edward R. Roybal Institute on Aging, Suzanne Dworak-Peck School of Social Work, University of Southern California, 669 West 34th Street, Los Angeles, 90089-0411, CA, United States;Park J., Suzanne Dworak-Peck School of Social Work, Edward R. Roybal Institute On Aging, University of Southern California, 669 West 34th Street, Los Angeles, 90089-0411, CA, United States;Park J., Edward R. Roybal Institute on Aging, University of Southern California, Los Angeles, CA, United States, Suzanne Dworak-Peck School of Social Work, University of Southern California, Los Angeles, CA, United States","Park, Jihong (57195605503)###Park, Juyoung (57221967549)", Jihong### Juyoung,Park###Park,Electrical and Computer Engineering###Edward R. Roybal Institute on Aging,Viterbi School of Engineering###Suzanne Dworak-Peck School of Social Work,2,FALSE,FALSE,,,,,,,
Park J.H.,56988253000###57216917479###57853711600,"Park J.H., Department of Dermatology, Keck School of Medicine of USC, Los Angeles, CA, Mexico, †Division of Dermatology, University of California, Los Angeles, CA, Mexico, ‡Department of Dermatology, Palo Alto Medical Foundation, Mountain View, CA, §Cooper Medical School of Rowan University, Camden, NJ###Park J.H., Sol Price School of Public Policy, University of Southern California, Los Angeles, CA, United States;Park J., Sol Price School of Public Policy, University of Southern California, Los Angeles, CA, United States;Park J.H., SURE Education Research Group, Department of Smart City, Chung-Ang University, Seoul, South Korea, Department of Urban Planning and Spatial Analysis, Sol Price School of Public Policy, University of Southern California, Los Angeles, CA, United States;Park J., SURE Education Research Group, Department of Smart City, Chung-Ang University, Seoul, South Korea, Population Dynamics Research Group, Department of Urban Planning and Spatial Analysis, Sol Price School of Public Policy, University of Southern California, Los Angeles, CA, United States###Park J.H., Sol Price School of Public Policy, University of Southern California, 650 Childs Way, Los Angeles, 90089, CA, United States","Park, Joyce H. (56988253000)###Park, JungHo (57216917479)###Park, Jung Ho (57853711600)", Joyce H.### JungHo### Jung Ho,Park###Park###Park,Dermatology###Population Dynamics Research Group;Urban Planning and Spatial Analysis###,Keck Medicine of USC###Price School of Public Policy###Price School of Public Policy,3,FALSE,FALSE,,57216917479###57853711600,JungHo,JungHo,Park,"Park, JungHo",
Park L.,56539407700###57215840746###57574403000,"Park L., Johns Hopkins University, Baltimore, United States, University of Southern California, Los Angeles, United States###Park L., Herman Ostrow School of Dentistry, University of Southern California, Los Angeles, CA, Mexico###Park L., University of Southern California, Los Angeles, CA, USA;Park L., University of Southern California, Los Angeles, CA, United States","Park, Lois (56539407700)###Park, Lydia (57215840746)###Park, Lois (57574403000)", Lois### Lydia### Lois,Park###Park###Park,######,###Herman Ostrow School of Dentistry of USC###,3,FALSE,FALSE,,56539407700###57574403000,Lois,Lois,Park,"Park, Lois",
Park S.L.,25641822800###57409450100,"Park S.L., Keck School of Medicine, University of Southern California, Los Angeles, CA, United States###Park S.L., Keck School of Medicine, University of Southern California, Los Angeles, California","Park, S. Lani (25641822800)###Park, S. Lani (57409450100)", S. Lani### S. Lani,Park###Park,###,Keck Medicine of USC###Keck Medicine of USC,2,TRUE,TRUE,,25641822800###57409450100,Sung-shim,Sung-shim,Park,"Park, Sung-shim",
Park S.Y.,57042184200###57206182621,"Park S.Y., Department of Molecular Microbiology and Immunology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Park S.Y., Department of Molecular Microbiology and Immunology, Keck School of Medicine, University of Southern California, Los Angeles, 90089-9605, CA, United States###Park S.Y., Division of Plastic and Reconstructive Surgery and Department of Surgery, Keck School of Medicine of USC, Los Angeles, CA, United States;Park S.Y., Division of Plastic and Reconstructive Surgery, Keck School of Medicine of University of Southern California, University of Southern California, Los Angeles, CA, United States;Park S.Y., Division of Plastic and Reconstructive Surgery and Keck School of Medicine of USC, Los Angeles, CA, United States;Park S.Y., Division of Plastic and Reconstructive Surgery, Keck School of Medicine of University of Southern California, University of Southern California, Los Angeles, United States","Park, Sung Yong (57042184200)###Park, Sun Young (57206182621)", Sung Yong### Sun Young,Park###Park,Molecular Microbiology and Immunology###Surgery,Keck Medicine of USC###Keck Medicine of USC,2,FALSE,TRUE,,57042184200###57206182621,Sun Young,Sun,Park,"Park, Sun",
Patel A.,57188838494###57223113146###57938501300,"Patel A., Department of Neurosurgery, Zilkha Neurogenetic Institute, University of Southern California, Los Angeles, United States, Department of Neurosurgery, Keck School of Medicine, University of Southern California, Los Angeles, United States;Patel A., Department of Neurosurgery, University of Southern California, Los Angeles, CA, United States###Patel A., Keck School of Medicine of USC, University of Southern California, Los Angeles, CA, United States###Patel A., University of Southern California, Los Angeles, CA, United States","Patel, Arati (57188838494)###Patel, Arpna (57223113146)###Patel, Aman (57938501300)", Arati### Arpna### Aman,Patel###Patel###Patel,Zilkha Neurogenetic Institute (ZNI)######,Keck Medicine of USC###Keck Medicine of USC###,3,FALSE,FALSE,,,,,,,
Patel J.,57216603557###57217873632,"Patel J., Department of Obstetrics and Gynecology, Keck School of Medicine, University of Southern California, Los Angeles, CA, United States;Patel J., Section of Family Planning, Department of Obstetrics and Gynecology, Keck School of Medicine of the University of Southern California, Los Angeles, CA, United States, Division of Family Planning, Department of Obstetrics and Gynecology, University of California Irvine School of Medicine, Irvine, CA, United States;Patel J., University of Southern California, Department of Obstetrics and Gynecology, Section of Family Planning, 2020 Zonal Ave Room 220, Los Angeles, 90033, CA, United States;Patel J., Division of Family Planning, Department of Obstetrics and Gynecology, University of California, Irvine, United States, Section of Family Planning, Department of Obstetrics and Gynecology, Keck School of Medicine of the University of Southern California, Los Angeles, CA, United States###Patel J., Keck Medical Center, University of Southern California, Los Angeles, CA, United States","Patel, Jasmine (57216603557)###Patel, Jaynita (57217873632)", Jasmine### Jaynita,Patel###Patel,Obstetrics and Gynecology###,Keck Medicine of USC###,2,FALSE,FALSE,,,,,,,
